iperf(10s)
period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,559,4766,4201502,9986,19,36693,24184,760669,3427,1910,293768,4064,0.02
1,6138,15546,4323715,11992,19,36693,24184,774687,4859,1910,293768,4064,0.01
2,166710,18545,4969995,229671,19,36693,24184,1037431,6030,1910,293768,4064,18.85
3,318575,21533,5615279,446622,19,36693,24184,1301846,7238,1910,293768,4064,18.54
4,475009,24344,6260938,663642,19,36693,24184,1563994,8543,1910,293768,4064,18.72
5,617750,27499,8129299,870090,19,36693,24184,1814978,9757,1910,293768,4064,17.96
6,756265,30641,7581675,1074495,19,36693,24184,2066136,11036,1910,293768,4064,17.64
7,907190,33186,8224511,1295487,19,36693,24184,2338646,12354,1910,293768,4064,19.55
8,1046085,35865,8888070,1501190,19,36693,24184,2593045,13501,1910,293768,4064,18.06
9,1192522,38739,9540922,1718664,19,36693,24184,2860196,14677,1910,293768,4064,18.97

iperf + nmap (10s)
period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,528,3849,15087713,14158,19,36654,24786,9812,826688,1910,293768,4144,0.02
1,8538,14994,15130817,18523,19,36654,24786,11212,843360,1910,293768,4144,0.17
2,149281,22390,15792493,224650,19,36654,24786,12490,1094493,1910,293768,4144,17.72
3,299934,25790,17563809,449206,19,36654,24786,13737,1367103,1910,293768,4144,19.41
4,449021,28532,17072498,696788,19,36654,24786,14898,1637969,1910,293768,4144,19.28
5,500690,31478,17912475,804811,19,36654,24786,16561,1761436,1910,293768,4144,7.41
6,558360,34794,20025032,896009,19,36654,24786,18275,1881468,1910,293768,4144,7.38
7,564983,37643,19720476,914092,19,36654,24786,19823,1912472,1910,293768,4144,0.97
8,707007,40960,20380091,1126013,19,36654,24786,20936,2172524,1910,293768,4144,17.90
9,851931,43587,21032423,1340606,19,36654,24786,22197,2437846,1910,293768,4144,18.46

period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,544,4540,4092762,7602,18,36569,24207,762493,3253,1864,293768,4152,0.02
1,9358,17855,5094717,15746,18,36569,24207,785505,5125,1864,293768,4152,0.17
2,150515,25534,4877493,214413,18,36569,24207,1029737,6410,1864,293768,4152,17.26
3,300351,28514,5508978,424621,18,36569,24207,1286533,7575,1864,293768,4152,18.09
4,449944,31304,6140060,659137,18,36569,24207,1539721,8862,1864,293768,4152,17.66
5,572194,33925,8148397,833119,18,36569,24207,1748617,10305,1864,293768,4152,14.33
6,717309,36735,7478352,1032006,18,36569,24207,1984362,11498,1864,293768,4152,16.51
7,861459,39332,8137992,1229805,18,36569,24207,2217651,12697,1864,293768,4152,16.17
8,1011916,42106,8772235,1439480,18,36569,24207,2467259,13929,1864,293768,4152,17.80
9,1162331,45083,11194080,1652782,18,36569,24207,2723236,15172,1864,293768,4152,18.20
10,1307678,48038,10059079,1852984,18,36569,24207,2961394,16420,1864,293768,4152,16.25
11,1458160,51285,10707707,2053924,18,36569,24207,3196558,17701,1864,293768,4152,16.54
12,1584890,54037,11395090,2233128,18,36569,24207,3418113,19023,1864,293768,4152,15.44
13,1728193,56878,12065217,2429674,18,36569,24207,3660780,20112,1864,293768,4152,16.93
