period,wifi,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,702048,7631,337,69,114962,4381583,19,36521,24542,3577,1882,206992,4152,0.01
1,717460,11179,5731,11743,114962,5389012,19,36521,24542,4999,1882,206992,4152,0.01
2,949840,229584,138675,14351,114962,5248249,19,36521,24542,6213,1882,206992,4152,16.34
3,1182325,473256,268124,17178,114962,5940242,19,36521,24542,7455,1882,206992,4152,16.51
4,1411046,712698,391879,19897,114962,7533767,19,36521,24542,8810,1882,206992,4152,16.04
5,1645540,987010,518352,22851,114962,7316399,19,36521,24542,10276,1882,206992,4152,16.88
6,1882870,1244649,650880,25959,114962,8008254,19,36521,24542,11640,1882,206992,4152,16.89
7,2115121,1520481,774789,29275,114962,8698290,19,36521,24542,12813,1882,206992,4152,16.48
8,2346384,1791018,895462,32241,114962,10290249,19,36521,24542,14055,1882,206992,4152,16.77
9,2578260,2030437,1014027,35204,114962,10087346,19,36521,24542,15355,1882,206992,4152,16.19
10,2811129,2296846,1132320,38392,114962,10783213,19,36521,24542,16568,1882,206992,4152,16.73
11,3037868,2553027,1247961,41595,114962,11484184,19,36521,24542,17782,1882,206992,4152,16.37
12,3233692,2759072,1350700,44791,114962,12227366,19,36521,24542,18949,1882,206992,4152,14.04
13,3263550,2803075,1353949,47985,114962,13191249,19,36521,24542,20808,1882,206992,4152,0.76
14,3297083,2874305,1360696,51117,114962,15049714,19,36521,24542,22442,1882,206992,4152,0.90
15,3588662,3172267,1509728,54194,114962,15700406,19,36521,24542,23896,1882,206992,4152,21.52
16,3867067,3474886,1653185,57245,114962,16346574,19,36521,24542,25383,1882,206992,4152,20.17
17,4083865,3725879,1765570,60269,114962,16099248,19,36521,24542,26786,1882,206992,4152,15.93
18,4371374,4022480,1925343,62720,114962,16712053,19,36521,24542,28195,1882,206992,4152,20.39
19,4655695,4332212,2081049,65781,114962,17334383,19,36521,24542,29637,1882,206992,4152,20.38
20,4953666,4645257,2239474,68953,114962,17935602,19,36521,24542,30899,1882,206992,4152,21.98
21,5242069,4921132,2389184,71432,114962,18552703,19,36521,24542,32156,1882,206992,4152,21.08
22,5533437,5238060,2539166,73937,114962,19169677,19,36521,24542,33343,1882,206992,4152,21.24
23,5802866,5527923,2674361,77128,114962,20948859,19,36521,24542,34748,1882,206992,4152,19.46
24,5947710,5682529,2741564,80157,114962,20624038,19,36521,24542,36259,1882,206992,4152,9.82
25,5969076,5716128,2742643,83262,114962,21599107,19,36521,24542,38022,1882,206992,4152,0.15
26,6130544,5911304,2824142,86414,114962,22384542,19,36521,24542,39381,1882,206992,4152,11.19
27,6425962,6207626,2978998,91141,114962,24172329,19,36521,24542,40702,1882,206992,4152,21.78
28,6727423,6511746,3136478,93689,114962,24806330,19,36521,24542,41977,1882,206992,4152,22.03
29,7004770,6799401,3273374,101424,114962,25476549,19,36521,24542,43228,1882,206992,4152,19.92
30,7264124,7072125,3406280,108111,114962,24906420,19,36521,24542,44816,1882,206992,4152,18.53
31,7539905,7350690,3549807,111456,114962,25539148,19,36521,24542,46158,1882,206992,4152,20.06
32,7819777,7644955,3695460,114437,114962,26162772,19,36521,24542,47492,1882,206992,4152,20.32
33,8113106,7925573,3846434,117413,114962,28166304,19,36521,24542,48811,1882,206992,4152,21.49
34,8345613,8173300,3966080,120492,114962,28879913,19,36521,24542,50210,1882,206992,4152,16.46
35,8581575,8418566,4084326,123265,114962,28154896,19,36521,24542,51617,1882,206992,4152,16.74
36,8808892,8650854,4198796,128359,114962,30322652,19,36521,24542,52870,1882,206992,4152,16.60
37,9044956,8888706,4319015,131577,114962,29555784,19,36521,24542,54079,1882,206992,4152,16.66
38,9273834,9123001,4435351,134301,114962,30262170,19,36521,24542,55172,1882,206992,4152,16.19
