period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
1,357,564,113965,4360383,7283,18,36481,24519,3679,704535,1881,206992,4152,0.01
2,5262,11723,113965,4531700,10722,18,36481,24519,5282,720437,1881,206992,4152,0.00
3,120341,14637,113965,5250600,231662,18,36481,24519,6561,931237,1881,206992,4152,14.60
4,246788,17819,113965,5929332,456661,18,36481,24519,8128,1164998,1881,206992,4152,16.49
5,369255,20478,113965,6615058,728546,18,36481,24519,9510,1399175,1881,206992,4152,16.50
6,489413,23430,113965,8240098,989117,18,36481,24519,10942,1623733,1881,206992,4152,15.67
7,625620,26791,113965,7972225,1278008,18,36481,24519,12323,1866140,1881,206992,4152,17.22
8,763985,29572,113965,8633936,1569442,18,36481,24519,13564,2112228,1881,206992,4152,17.08
9,892086,32561,113965,9308104,1847421,18,36481,24519,14898,2353594,1881,206992,4152,16.84
10,1003018,35573,113965,10010209,2103141,18,36481,24519,16291,2577608,1881,206992,4152,15.58
11,1121849,38257,113965,10697128,2375629,18,36481,24519,17553,2816686,1881,206992,4152,17.25
12,1245592,40800,113965,11365789,2659055,18,36481,24519,18971,3066349,1881,206992,4152,17.73
13,1356026,43662,113965,12058266,2917083,18,36481,24519,20233,3290399,1881,206992,4152,15.67
14,1449008,46217,113965,12810255,3137788,18,36481,24519,21653,3470714,1881,206992,4152,12.42
15,1552665,48810,113965,14554042,3367511,18,36481,24519,22897,3662815,1881,206992,4152,13.72
16,1665393,51200,113965,14269080,3616062,18,36481,24519,24373,3863074,1881,206992,4152,14.27
17,1788693,53909,113965,14964981,3881062,18,36481,24519,25704,4088055,1881,206992,4152,15.90
18,1902280,56630,113965,16685203,4132871,18,36481,24519,27069,4298898,1881,206992,4152,14.81
19,2011244,59697,113965,17403110,4385314,18,36481,24519,28497,4508251,1881,206992,4152,14.78
20,2133104,62629,113965,17074800,4644620,18,36481,24519,29798,4733205,1881,206992,4152,15.64
21,2253664,65846,113965,18808727,4910570,18,36481,24519,31298,4964022,1881,206992,4152,16.42
22,2376140,68918,113965,18449163,5179500,18,36481,24519,32759,5191296,1881,206992,4152,15.95
23,2491366,72003,113965,19153330,5434276,18,36481,24519,34003,5403568,1881,206992,4152,14.78
24,2601969,75112,113965,19853123,5684430,18,36481,24519,35307,5610108,1881,206992,4152,14.65
25,2739257,77754,113965,20520300,5971489,18,36481,24519,36931,5848885,1881,206992,4152,16.86
26,2874388,80481,113965,21207667,6253353,18,36481,24519,38362,6083039,1881,206992,4152,16.35
27,2999012,83049,113965,21909667,6521631,18,36481,24519,39762,6304478,1881,206992,4152,15.44
28,3114370,85539,113965,22610719,6778235,18,36481,24519,41135,6519460,1881,206992,4152,14.90
29,3220917,88357,113965,24437517,7021962,18,36481,24519,42517,6718051,1881,206992,4152,13.92
30,3349079,91220,113965,24017632,7293215,18,36481,24519,44161,6938974,1881,206992,4152,15.64
31,3479965,93966,113965,25818712,7566431,18,36481,24519,45759,7161273,1881,206992,4152,15.65
32,3596697,96998,113965,25422046,7818869,18,36481,24519,47235,7364368,1881,206992,4152,14.20
33,3704618,99389,113965,26146992,8062029,18,36481,24519,48614,7564759,1881,206992,4152,14.00
34,3821160,102044,113965,26861211,8319847,18,36481,24519,49961,7781325,1881,206992,4152,15.06
35,3923885,104805,113965,28681098,8555254,18,36481,24519,51257,7974972,1881,206992,4152,13.33
36,4022631,108090,113965,29426076,8783200,18,36481,24519,52561,8160259,1881,206992,4152,13.26
37,4151552,110839,113965,29044331,9056116,18,36481,24519,54035,8385179,1881,206992,4152,16.03
38,4269561,113563,113965,29762261,9312356,18,36481,24519,55192,8594762,1881,206992,4152,14.72
39,4396720,116425,113965,30434847,9594204,18,36481,24519,56647,8837893,1881,206992,4152,17.22
40,4521353,118945,113965,31103109,9875238,18,36481,24519,58245,9089059,1881,206992,4152,17.61
41,4653732,121553,113965,31764579,10166899,18,36481,24519,59592,9343031,1881,206992,4152,17.97
42,4783993,124927,113965,32432737,10455853,18,36481,24519,60863,9597264,1881,206992,4152,18.07
43,4921773,128093,113965,34170508,10758078,18,36481,24519,62236,9865356,1881,206992,4152,19.32
44,5053343,131047,113965,33740982,11049337,18,36481,24519,63732,10121875,1881,206992,4152,18.38
45,5182576,133621,113965,34413904,11332262,18,36481,24519,65093,10366839,1881,206992,4152,17.61
46,5320526,135926,113965,35067360,11633115,18,36481,24519,66461,10630289,1881,206992,4152,18.81
47,5454476,139455,113965,35713943,11931946,18,36481,24519,67784,10894775,1881,206992,4152,19.01
48,5593540,142021,113965,36350436,12243168,18,36481,24519,69311,11167919,1881,206992,4152,19.49
49,5724848,144681,113965,37001443,12542712,18,36481,24519,70670,11428425,1881,206992,4152,18.54
50,5846150,152247,113965,38797060,12824448,18,36481,24519,72169,11670010,1881,206992,4152,16.82
51,5963104,163747,113965,39517270,13112095,18,36481,24519,73647,11902912,1881,206992,4152,16.91
52,6094755,166661,113965,39056392,13403863,18,36481,24519,75002,12156772,1881,206992,4152,17.94
53,6233882,169930,113965,40822359,13706062,18,36481,24519,76271,12423311,1881,206992,4152,18.94
54,6355667,172813,113965,41510136,13978831,18,36481,24519,77562,12660738,1881,206992,4152,16.91
55,6488151,175653,113965,41045755,14272545,18,36481,24519,78944,12918934,1881,206992,4152,18.66
56,6612557,178765,113965,41712287,14555767,18,36481,24519,80208,13169600,1881,206992,4152,17.59
57,6752094,181823,113965,42363445,14857062,18,36481,24519,81575,13434579,1881,206992,4152,18.90
58,6885820,185006,113965,43013078,15151546,18,36481,24519,83040,13697674,1881,206992,4152,18.81
59,7018219,188007,113965,43677764,15444437,18,36481,24519,84307,13953658,1881,206992,4152,17.96
60,7138397,191339,113965,44356191,15717793,18,36481,24519,85750,14192366,1881,206992,4152,16.95
61,7268112,194186,113965,45010938,16010915,18,36481,24519,87156,14450451,1881,206992,4152,18.51
62,7403419,197243,113965,45661223,16310901,18,36481,24519,88592,14713359,1881,206992,4152,18.88
63,7535449,199943,113965,46317770,16609852,18,36481,24519,90073,14976888,1881,206992,4152,18.75
64,7568292,203144,113965,47205048,16703034,18,36481,24519,91890,15063344,1881,206992,4152,4.77
65,7690566,206119,113965,47877469,16980998,18,36481,24519,93320,15309296,1881,206992,4152,17.23
66,7829453,209024,113965,49729450,17287779,18,36481,24519,94777,15581349,1881,206992,4152,19.42
67,7965919,211843,113965,49172070,17585034,18,36481,24519,96034,15843330,1881,206992,4152,18.99
68,8102461,214876,113965,49823065,17883131,18,36481,24519,97282,16107606,1881,206992,4152,19.11
69,8229324,217328,113965,50494569,18166392,18,36481,24519,98737,16359725,1881,206992,4152,17.55
70,8359129,220857,113965,51156827,18455777,18,36481,24519,100110,16614147,1881,206992,4152,18.20
71,8478101,223837,113965,51840230,18728674,18,36481,24519,101296,16852256,1881,206992,4152,17.23
72,8595534,226681,113965,52543200,18995777,18,36481,24519,102646,17084203,1881,206992,4152,16.19
73,8662513,229982,113965,53348458,19177869,18,36481,24519,104199,17235441,1881,206992,4152,9.94
74,8698341,233201,113965,54237344,19297779,18,36481,24519,105949,17318459,1881,206992,4152,4.69
75,8820743,236338,113965,54914880,19575297,18,36481,24519,107355,17561821,1881,206992,4152,17.30
76,8941384,239584,113965,55593857,19850839,18,36481,24519,108698,17803272,1881,206992,4152,17.35
77,9071380,242803,113965,56247096,20145050,18,36481,24519,110185,18066281,1881,206992,4152,18.84
78,9205350,245599,113965,56897870,20445729,18,36481,24519,111501,18337083,1881,206992,4152,18.88
79,9337064,248969,113965,58765065,20738617,18,36481,24519,112855,18595615,1881,206992,4152,18.28
80,9469069,252490,113965,58213663,21034117,18,36481,24519,114309,18855169,1881,206992,4152,18.52
81,9604087,254717,113965,58857445,21335732,18,36481,24519,115657,19122623,1881,206992,4152,19.23
82,9746581,257527,113965,59483151,21645896,18,36481,24519,117123,19406991,1881,206992,4152,20.36
83,9876188,261064,113965,60137285,21934279,18,36481,24519,118561,19668162,1881,206992,4152,18.44
84,9996830,263531,113965,60830323,22203513,18,36481,24519,119922,19904980,1881,206992,4152,16.70
85,10112124,266440,113965,61528955,22465068,18,36481,24519,121280,20133371,1881,206992,4152,16.20
86,10117633,269750,113965,62486260,22537648,18,36481,24519,123151,20168773,1881,206992,4152,1.17
87,10133449,273339,113965,63427121,22621673,18,36481,24519,124777,20215700,1881,206992,4152,2.07
88,10266553,276295,113965,64081597,22912976,18,36481,24519,126121,20481502,1881,206992,4152,18.51
89,10395289,279406,113965,64742638,23199337,18,36481,24519,127530,20737591,1881,206992,4152,18.08
90,10498986,282692,113965,65466500,23445008,18,36481,24519,128864,20949168,1881,206992,4152,14.86
91,10638389,285584,113965,66102651,23747764,18,36481,24519,130190,21224592,1881,206992,4152,19.72
92,10772876,288729,113965,66743065,24049804,18,36481,24519,131660,21498913,1881,206992,4152,19.43
93,10907703,291961,113965,68623255,24342031,18,36481,24519,133011,21769662,1881,206992,4152,19.23
94,11041863,295048,113965,68041045,24642461,18,36481,24519,134332,22033559,1881,206992,4152,18.95
95,11171456,297777,113965,69940472,24932789,18,36481,24519,135822,22291859,1881,206992,4152,18.33
96,11307324,301005,113965,69350454,25231412,18,36481,24519,137157,22554801,1881,206992,4152,18.95
