period,wifi,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,696248,172,0,115367,4083786,7299,18,36593,13783,2885,1877,206992,4144,0.01
1,721115,6121,11657,115367,4274557,11690,18,36593,13783,4394,1877,206992,4144,0.00
2,917470,118638,14280,115367,4991020,233516,18,36593,13783,5612,1877,206992,4144,13.59
3,1094218,236775,17150,115367,5715798,423016,18,36593,13783,6949,1877,206992,4144,12.79
4,1283007,356591,20032,115367,6427026,703981,18,36593,13783,8370,1877,206992,4144,13.33
5,1463343,472968,23382,115367,7149982,951248,18,36593,13783,9687,1877,206992,4144,12.91
6,1622424,564854,26336,115367,8823302,1192530,18,36593,13783,11046,1877,206992,4144,10.78
7,1799092,671538,29306,115367,8665182,1428456,18,36593,13783,12241,1877,206992,4144,12.28
8,1961032,769082,32536,115367,10289659,1676163,18,36593,13783,13587,1877,206992,4144,11.38
9,2144303,874488,35237,115367,11027502,1915777,18,36593,13783,14986,1877,206992,4144,12.60
10,2309865,966390,37742,115367,10927151,2170141,18,36593,13783,16359,1877,206992,4144,11.31
11,2485458,1066922,40350,115367,11665103,2429022,18,36593,13783,17686,1877,206992,4144,12.18
12,2658998,1169612,43024,115367,12411941,2659328,18,36593,13783,18883,1877,206992,4144,12.00
13,2840405,1271648,46212,115367,13150627,2922743,18,36593,13783,20187,1877,206992,4144,12.44
14,3035338,1383449,49236,115367,13869537,3173808,18,36593,13783,21585,1877,206992,4144,13.60
15,3227031,1491409,51751,115367,15379129,3445668,18,36593,13783,22910,1877,206992,4144,13.56
16,3386427,1579389,54361,115367,15370316,3658454,18,36593,13783,24305,1877,206992,4144,10.74
17,3428145,1587695,57208,115367,16317262,3772332,18,36593,13783,26033,1877,206992,4144,1.54
18,3568923,1669991,60400,115367,17114128,3991154,18,36593,13783,27437,1877,206992,4144,9.35
19,3741247,1768752,64721,115367,17861802,4220018,18,36593,13783,28692,1877,206992,4144,12.07
20,3919168,1869383,67419,115367,18603429,4481911,18,36593,13783,30019,1877,206992,4144,12.36
21,4066035,1956287,70661,115367,20065859,4686366,18,36593,13783,31407,1877,206992,4144,10.21
22,4218273,2047780,73700,115367,20166542,4917581,18,36593,13783,32662,1877,206992,4144,10.37
23,4371963,2136661,76880,115367,20934614,5126871,18,36593,13783,34147,1877,206992,4144,10.55
24,4543135,2238203,88265,115367,22354655,5379398,18,36593,13783,35401,1877,206992,4144,12.21
25,4716837,2338336,91208,115367,22466662,5631907,18,36593,13783,36741,1877,206992,4144,11.88
26,4888390,2439353,94760,115367,23215177,5847972,18,36593,13783,38239,1877,206992,4144,11.70
