period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,549,4836,4203964,9809,18,19550,23816,3582,702507,1888,206992,4152,0.01
1,6116,15408,4384603,11177,18,19550,23816,4838,714739,1888,206992,4152,0.00
2,6116,18002,5369150,12498,18,19550,23816,6096,727721,1888,206992,4152,0.00
3,70708,20584,6196731,150855,18,19550,23816,7798,862340,1888,206992,4152,8.31
4,72065,23299,7170724,157534,18,19550,23816,9299,883443,1888,206992,4152,0.31
5,188829,26171,7875927,416241,18,19550,23816,10629,1113519,1888,206992,4152,15.89
6,190318,29397,8853128,475655,18,19550,23816,12137,1134356,1888,206992,4152,0.18
7,294345,32266,9579703,723525,18,19550,23816,13538,1353291,1888,206992,4152,15.11
8,295797,35122,11328873,783939,18,19550,23816,15025,1375917,1888,206992,4152,0.16
9,421486,46094,11254536,1103519,18,19550,23816,16419,1633512,1888,206992,4152,18.31
10,422955,49213,12227202,1163017,18,19550,23816,18052,1655355,1888,206992,4152,0.18
11,542882,52505,13621091,1434940,18,19550,23816,19259,1896506,1888,206992,4152,16.95
12,554846,55562,14564704,1490770,18,19550,23816,20727,1940904,1888,206992,4152,1.99
13,632546,63473,14653311,1704976,18,19550,23816,22136,2106395,1888,206992,4152,11.25
14,714417,73964,15442141,1920385,18,19550,23816,23500,2275719,1888,206992,4152,11.56
15,767612,77092,16284647,2075754,18,19550,23816,25061,2397336,1888,206992,4152,7.72
16,825744,79917,17124089,2240533,18,19550,23816,26731,2528657,1888,206992,4152,8.08
17,885221,82908,17947326,2408277,18,19550,23816,28326,2665301,1888,206992,4152,8.63
18,937257,85927,18797980,2559652,18,19550,23816,29991,2782909,1888,206992,4152,7.55
19,978609,88995,19664448,2724312,18,19550,23816,31528,2891563,1888,206992,4152,6.60
20,1011474,91369,20552152,2849403,18,19550,23816,33103,2981311,1888,206992,4152,5.23
21,1102719,94512,21822993,3069072,18,19550,23816,34599,3168196,1888,206992,4152,13.02
22,1120161,97085,22242414,3135023,18,19550,23816,36173,3227162,1888,206992,4152,2.75
23,1210591,100239,23006136,3352573,18,19550,23816,37623,3408552,1888,206992,4152,12.64
24,1237801,102789,23912984,3463783,18,19550,23816,39341,3485356,1888,206992,4152,4.23
25,1325223,106348,24679301,3714013,18,19550,23816,40701,3668436,1888,206992,4152,12.52
26,1390371,108991,25491932,3894715,18,19550,23816,42262,3816573,1888,206992,4152,9.69
27,1447372,111499,26337423,4046302,18,19550,23816,43854,3939041,1888,206992,4152,7.72
28,1507849,114645,27170175,4208392,18,19550,23816,45389,4072645,1888,206992,4152,8.63
29,1518843,117651,28113351,4289579,18,19550,23816,47108,4118853,1888,206992,4152,1.97
30,1617302,125944,28848358,4550910,18,19550,23816,48511,4327248,1888,206992,4152,14.31
31,1675902,136520,29692533,4717062,18,19550,23816,49922,4450845,1888,206992,4152,8.14
32,1738919,139532,30516155,4890539,18,19550,23816,51482,4591754,1888,206992,4152,9.05
33,1792719,142326,31356769,5047378,18,19550,23816,53135,4717792,1888,206992,4152,7.83
34,1844541,145470,32206428,5175004,18,19550,23816,54680,4837227,1888,206992,4152,7.55
35,1911233,148609,33021746,5350657,18,19550,23816,56311,4982350,1888,206992,4152,9.58
36,1964955,151310,33870379,5534652,18,19550,23816,57936,5105954,1888,206992,4152,7.68
37,2021850,154537,34705351,5697650,18,19550,23816,59475,5236867,1888,206992,4152,8.38
38,2080016,158031,35701862,5862839,18,19550,23816,61119,5371312,1888,206992,4152,8.54
39,2133030,160717,36377791,6015846,18,19550,23816,62667,5495892,1888,206992,4152,7.90
40,2185447,163847,37221870,6143053,18,19550,23816,64451,5616052,1888,206992,4152,7.55
41,2244676,166988,38045760,6283665,18,19550,23816,66147,5751912,1888,206992,4152,8.63
42,2300499,170125,38883766,6455080,18,19550,23816,67696,5880758,1888,206992,4152,8.17
43,2363691,176678,39706626,6574233,18,19550,23816,69340,6020423,1888,206992,4152,9.09
44,2418062,179817,40555819,6685619,18,19550,23816,71182,6138704,1888,206992,4152,7.55
45,2476946,182962,41387839,6818093,18,19550,23816,72638,6270362,1888,206992,4152,8.63
46,2517580,186247,42469830,6950436,18,19550,23816,74110,6368138,1888,206992,4152,5.88
47,2595397,189125,43060603,7172131,18,19550,23816,75412,6525935,1888,206992,4152,10.83
48,2637364,191856,44077817,7309646,18,19550,23816,77017,6630278,1888,206992,4152,6.39
49,2702098,194690,44745278,7487872,18,19550,23816,78547,6777779,1888,206992,4152,9.53
50,2762002,197747,45578442,7625205,18,19550,23816,80134,6908040,1888,206992,4152,8.37
51,2814991,200894,46428098,7779797,18,19550,23816,81570,7027981,1888,206992,4152,7.99
52,2879919,203755,47246151,7946773,18,19550,23816,83181,7174193,1888,206992,4152,9.27
53,2932554,206594,48091547,8131663,18,19550,23816,84861,7294917,1888,206992,4152,7.56
54,2989882,209738,48925989,8289335,18,19550,23816,86567,7428066,1888,206992,4152,8.63
55,3045064,212750,49776987,8444190,18,19550,23816,87858,7546192,1888,206992,4152,7.55
56,3108477,215887,50596039,8617953,18,19550,23816,89469,7689671,1888,206992,4152,9.13
57,3145959,218570,51477175,8747329,18,19550,23816,91119,7785687,1888,206992,4152,5.75
58,3219621,226358,52246268,8940307,18,19550,23816,92557,7944760,1888,206992,4152,10.49
59,3265599,237556,53170188,9104769,18,19550,23816,93956,8046703,1888,206992,4152,6.63
60,3304480,240132,54045497,9236675,18,19550,23816,95609,8144248,1888,206992,4152,5.62
61,3387403,243266,54818211,9447681,18,19550,23816,97067,8323197,1888,206992,4152,12.22
62,3450205,245900,55641575,9618991,18,19550,23816,98519,8461488,1888,206992,4152,8.75
63,3511719,249048,56473766,9785140,18,19550,23816,99645,8590020,1888,206992,4152,8.63
64,3564639,252532,57319146,9969201,18,19550,23816,101222,8715984,1888,206992,4152,8.09
65,3607323,254971,57977606,10106574,18,19550,23816,102644,8816551,1888,206992,4152,6.13
66,3670255,258019,59014212,10282988,18,19550,23816,104243,8962473,1888,206992,4152,9.29
67,3721855,261169,59872444,10430890,18,19550,23816,105318,9071260,1888,206992,4152,7.13
68,3755267,263576,60760473,10555018,18,19550,23816,107158,9162045,1888,206992,4152,5.35
69,3798740,266706,61631818,10687591,18,19550,23816,108674,9258964,1888,206992,4152,5.88
70,3893283,277952,62406500,10954027,18,19550,23816,110257,9464439,1888,206992,4152,14.18
71,3908763,281227,63348394,11036423,18,19550,23816,112095,9510819,1888,206992,4152,1.89
72,4013689,284023,64061757,11294430,18,19550,23816,113565,9734287,1888,206992,4152,15.99
73,4015279,287253,65033401,11354291,18,19550,23816,115223,9757117,1888,206992,4152,0.22
74,4132221,290388,65723611,11618737,18,19550,23816,116545,9992198,1888,206992,4152,16.57
75,4144135,293342,66667355,11728670,18,19550,23816,118148,10037861,1888,206992,4152,2.07
76,4158046,296562,67143950,11809093,18,19550,23816,119743,10081714,1888,206992,4152,1.74
77,4293938,299501,68268181,12110449,18,19550,23816,120900,10353663,1888,206992,4152,19.53
