period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,614,3750,101086,3418775,9261,18,19503,23269,3543,701219,1888,206992,4152,0.01
1,6163,14098,101086,4402422,11169,18,19503,23269,4911,714839,1888,206992,4152,0.00
2,6163,16705,101086,5388606,11924,18,19503,23269,6034,726243,1888,206992,4152,0.00
3,22862,19286,101086,6330532,68794,18,19503,23269,7785,773175,1888,206992,4152,1.97
4,103122,22091,101086,7129497,211141,18,19503,23269,9107,930464,1888,206992,4152,10.68
5,159266,24904,101086,8827542,370126,18,19503,23269,10516,1055699,1888,206992,4152,7.79
6,196159,27640,101086,8865385,491915,18,19503,23269,12137,1141672,1888,206992,4152,5.02
7,289647,30283,101086,9613089,694853,18,19503,23269,13392,1339672,1888,206992,4152,13.71
8,291108,32871,101086,10591787,753182,18,19503,23269,14890,1358863,1888,206992,4152,0.16
9,421994,35669,101086,11249574,1046521,18,19503,23269,16216,1621760,1888,206992,4152,18.66
10,436283,37989,101086,12187006,1134954,18,19503,23269,17812,1675626,1888,206992,4152,2.29
11,539785,41047,101086,12925326,1375027,18,19503,23269,19071,1880549,1888,206992,4152,14.49
12,588882,44456,101086,13780422,1526188,18,19503,23269,20563,1994854,1888,206992,4152,7.49
13,607398,52452,101086,14709037,1640326,18,19503,23269,22116,2057829,1888,206992,4152,2.98
14,646179,62789,101086,15601025,1775063,18,19503,23269,23591,2147833,1888,206992,4152,5.33
15,759062,65703,101086,16300712,2014001,18,19503,23269,24947,2381952,1888,206992,4152,16.59
16,760528,68833,101086,17274962,2073343,18,19503,23269,26399,2402494,1888,206992,4152,0.18
17,843468,71884,101086,18052595,2278133,18,19503,23269,27894,2574458,1888,206992,4152,11.71
18,912333,74907,101086,18862090,2464983,18,19503,23269,29266,2726620,1888,206992,4152,10.23
19,952470,78127,101086,19741192,2592659,18,19503,23269,30761,2820513,1888,206992,4152,5.76
20,986553,80611,101086,20630087,2719758,18,19503,23269,32494,2912587,1888,206992,4152,5.29
21,1028975,83754,101086,22077192,2851548,18,19503,23269,33925,3010174,1888,206992,4152,5.96
22,1166231,86592,101086,22156117,3150963,18,19503,23269,35158,3283925,1888,206992,4152,19.59
23,1170857,89806,101086,23115503,3220882,18,19503,23269,36654,3317256,1888,206992,4152,1.01
24,1278130,92518,101086,23847072,3457926,18,19503,23269,38192,3527903,1888,206992,4152,14.79
25,1337636,95738,101086,24679067,3623098,18,19503,23269,39954,3663415,1888,206992,4152,8.63
26,1395414,98843,101086,25516689,3757067,18,19503,23269,41652,3791829,1888,206992,4152,8.27
27,1449257,101520,101086,26362809,3888472,18,19503,23269,43424,3917046,1888,206992,4152,7.73
28,1500822,104663,101086,27214544,4015350,18,19503,23269,45074,4035739,1888,206992,4152,7.55
29,1563666,107795,101086,28035387,4159826,18,19503,23269,46800,4175129,1888,206992,4152,9.16
30,1617238,115647,101086,28879557,4349949,18,19503,23269,48427,4304146,1888,206992,4152,7.86
31,1679240,123272,101086,29715787,4521002,18,19503,23269,50031,4437199,1888,206992,4152,8.69
32,1738394,126391,101086,30984580,4688964,18,19503,23269,51502,4571210,1888,206992,4152,8.63
33,1793446,129678,101086,31831858,4818478,18,19503,23269,53307,4697318,1888,206992,4152,7.94
34,1816418,132259,101086,32307325,4922013,18,19503,23269,54964,4764256,1888,206992,4152,3.66
35,1870237,135384,101086,33153170,5074751,18,19503,23269,56464,4884236,1888,206992,4152,7.61
36,1937943,138538,101086,33955949,5251879,18,19503,23269,58119,5038374,1888,206992,4152,10.15
37,2020049,141771,101086,34738799,5455894,18,19503,23269,59507,5206975,1888,206992,4152,11.56
38,2045559,144985,101086,35642592,5565788,18,19503,23269,61286,5283540,1888,206992,4152,4.15
39,2092589,148268,101086,36511895,5704692,18,19503,23269,62860,5386858,1888,206992,4152,6.45
40,2170322,151355,101086,37297323,5905710,18,19503,23269,64267,5556940,1888,206992,4152,11.46
41,2249362,154583,101086,38087046,6102737,18,19503,23269,65624,5720671,1888,206992,4152,10.95
42,2267422,157806,101086,39009029,6199671,18,19503,23269,67278,5783000,1888,206992,4152,3.12
43,2351498,160954,101086,39781579,6409386,18,19503,23269,68605,5959663,1888,206992,4152,12.15
44,2373188,164168,101086,40699746,6511449,18,19503,23269,70228,6025181,1888,206992,4152,3.58
45,2471667,167517,101086,41680138,6744937,18,19503,23269,71703,6226529,1888,206992,4152,13.73
46,2489440,170491,101086,42368855,6840184,18,19503,23269,73440,6286425,1888,206992,4152,2.89
47,2578609,178740,101086,43315940,7077838,18,19503,23269,74934,6470115,1888,206992,4152,12.25
48,2646737,189960,101086,43959825,7253763,18,19503,23269,76550,6622927,1888,206992,4152,10.11
49,2704840,193134,101086,44792460,7402118,18,19503,23269,78156,6758057,1888,206992,4152,8.63
50,2762657,196290,101086,45627563,7561484,18,19503,23269,79764,6890365,1888,206992,4152,8.63
51,2813632,198886,101086,46473642,7713752,18,19503,23269,81431,7011161,1888,206992,4152,7.55
52,2873116,202013,101086,47306281,7879539,18,19503,23269,83013,7146320,1888,206992,4152,8.63
53,2924930,205139,101086,48152446,8032663,18,19503,23269,84635,7266771,1888,206992,4152,7.55
54,2985515,208281,101086,48979296,8173390,18,19503,23269,86293,7403175,1888,206992,4152,8.63
55,3039023,211726,101086,49923321,8325773,18,19503,23269,87916,7522699,1888,206992,4152,7.55
56,3085843,214781,101086,50686880,8476468,18,19503,23269,89376,7640511,1888,206992,4152,6.95
57,3158542,217918,101086,51489678,8659517,18,19503,23269,91035,7791924,1888,206992,4152,9.93
58,3216454,221044,101086,52323806,8824695,18,19503,23269,92612,7925640,1888,206992,4152,8.63
59,3274530,224171,101086,53157656,8989761,18,19503,23269,94310,8058140,1888,206992,4152,8.31
60,3329420,226806,101086,54001929,9121369,18,19503,23269,95980,8182250,1888,206992,4152,7.73
61,3380990,229947,101086,54851157,9274444,18,19503,23269,97603,8302230,1888,206992,4152,7.55
62,3444128,233084,101086,55667848,9423601,18,19503,23269,98989,8446630,1888,206992,4152,9.46
63,3499047,236212,101086,56511751,9582049,18,19503,23269,100624,8568446,1888,206992,4152,7.80
64,3556715,239349,101086,57341373,9778961,18,19503,23269,102221,8706394,1888,206992,4152,8.64
65,3614961,243424,101086,58175454,9931805,18,19503,23269,103800,8839199,1888,206992,4152,8.63
66,3667447,246345,101086,59026450,10060066,18,19503,23269,105372,8960320,1888,206992,4152,7.55
67,3693491,249095,101086,59934271,10168208,18,19503,23269,107067,9035002,1888,206992,4152,4.11
68,3769017,252231,101086,60724227,10361236,18,19503,23269,108489,9198576,1888,206992,4152,10.85
69,3839969,255468,101086,61531749,10544020,18,19503,23269,110047,9351170,1888,206992,4152,9.86
70,3892843,258601,101086,62370812,10693839,18,19503,23269,111654,9478741,1888,206992,4152,7.91
71,3949622,261658,101086,63209253,10828120,18,19503,23269,113240,9607098,1888,206992,4152,8.19
72,4007832,264801,101086,64040548,10968694,18,19503,23269,114830,9741617,1888,206992,4152,8.63
73,4067111,267957,101086,64789916,11097453,18,19503,23269,116438,9878204,1888,206992,4152,8.63
74,4119404,270639,101086,65715270,11243405,18,19503,23269,118269,10000879,1888,206992,4152,7.56
75,4172895,273745,101086,66558428,11392971,18,19503,23269,120023,10127875,1888,206992,4152,8.05
76,4188799,276466,101086,67361059,11484399,18,19503,23269,121394,10180492,1888,206992,4152,2.58
77,4288111,279372,101086,68237751,11712854,18,19503,23269,122900,10383403,1888,206992,4152,14.04
78,4352536,282592,101086,69065205,11878182,18,19503,23269,124388,10517297,1888,206992,4152,8.78
79,4401429,285879,101086,69742640,12018635,18,19503,23269,125772,10628728,1888,206992,4152,7.03
80,4467491,289149,101086,70741005,12193097,18,19503,23269,127477,10777705,1888,206992,4152,9.72
81,4521390,293975,101086,71584346,12376572,18,19503,23269,129056,10906471,1888,206992,4152,8.07
82,4573560,304481,101086,72436799,12475659,18,19503,23269,130585,11025578,1888,206992,4152,7.55
83,4632070,307912,101086,73041366,12642829,18,19503,23269,132151,11162093,1888,206992,4152,8.76
84,4685875,310252,101086,74112115,12771850,18,19503,23269,133604,11284976,1888,206992,4152,7.88
