period,experiment_runn,measurer,IDLE,tiT,ipc0,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps
0,610,4023,4054463,8937,1888,18,19525,13599,711386,3147,206992,4152,0.01
1,6127,14791,4232565,10689,1888,18,19525,13599,723403,4313,206992,4152,0.00
2,6127,17399,5218093,11405,1888,18,19525,13599,735444,5536,206992,4152,0.00
3,129689,19985,6752571,270716,1888,18,19525,13599,967633,6809,206992,4152,16.60
4,247553,23336,7481798,504378,1888,18,19525,13599,1203846,7978,206992,4152,16.77
5,350584,26221,7325478,732405,1888,18,19525,13599,1415691,9343,206992,4152,14.87
6,397577,29464,9073589,864645,1888,18,19525,13599,1529609,10943,206992,4152,7.02
7,562976,32290,9684320,1196397,1888,18,19525,13599,1856853,12208,206992,4152,23.84
8,702962,35291,9389902,1474211,1888,18,19525,13599,2131702,13539,206992,4152,19.82
9,819993,38398,10086239,1707395,1888,18,19525,13599,2365083,14740,206992,4152,16.70
10,937831,40988,10780232,1940737,1888,18,19525,13599,2599523,15965,206992,4152,16.54
11,1049233,44177,11482237,2164900,1888,18,19525,13599,2825734,17137,206992,4152,16.17
12,1164141,47495,12174904,2397309,1888,18,19525,13599,3058805,18334,206992,4152,16.69
13,1279964,49701,12871881,2626362,1888,18,19525,13599,3288354,19492,206992,4152,16.67
14,1394493,52391,13574537,2853541,1888,18,19525,13599,3514325,20652,206992,4152,16.17
15,1508710,55682,15476093,3086048,1888,18,19525,13599,3745445,21897,206992,4152,16.61
16,1626785,58792,14963051,3320451,1888,18,19525,13599,3978842,23037,206992,4152,16.72
17,1739976,61592,15669436,3547086,1888,18,19525,13599,4206389,24247,206992,4152,16.27
18,1854840,64872,16366718,3776268,1888,18,19525,13599,4436156,25488,206992,4152,16.68
19,1973363,69181,17059724,4013782,1888,18,19525,13599,4671957,26672,206992,4152,16.74
20,2086634,72025,17764886,4238169,1888,18,19525,13599,4895767,27793,206992,4152,16.17
21,2203269,75292,18458461,4469794,1888,18,19525,13599,5127461,29057,206992,4152,16.67
22,2318736,78770,20587990,4699719,1888,18,19525,13599,5358826,30306,206992,4152,16.73
23,2432329,81706,19862004,4927475,1888,18,19525,13599,5589301,31504,206992,4152,16.17
24,2546145,84899,20557146,5157168,1888,18,19525,13599,5820402,32753,206992,4152,16.71
25,2663097,87699,21256365,5393004,1888,18,19525,13599,6056999,33807,206992,4152,16.71
26,2774737,90379,21960144,5617961,1888,18,19525,13599,6283962,34944,206992,4152,16.17
27,2888489,93575,24236228,5847413,1888,18,19525,13599,6515524,36269,206992,4152,16.68
28,3006263,97024,23355106,6081805,1888,18,19525,13599,6751888,37456,206992,4152,16.71
29,3119990,99159,24053038,6309326,1888,18,19525,13599,6981431,38718,206992,4152,16.18
30,3233526,102530,26427206,6539616,1888,18,19525,13599,7214539,39963,206992,4152,16.62
31,3349379,105895,27151356,6775114,1888,18,19525,13599,7450599,40998,206992,4152,16.72
32,3463832,108692,26154986,7000528,1888,18,19525,13599,7677918,42196,206992,4152,16.17
33,3581250,112051,26846753,7234424,1888,18,19525,13599,7911936,43417,206992,4152,16.71
34,3694794,114953,27542630,7466048,1888,18,19525,13599,8145536,44646,206992,4152,16.71
35,3806646,117828,28249816,7690830,1888,18,19525,13599,8372646,45904,206992,4152,16.17
