period,experiment_runn,measurer,IDLE,tiT,ipc0,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
0,475,622,4348494,7286,1881,18,19526,24063,701251,3684,206992,4152,0.01,99294
1,2715,11718,4517450,13636,1881,18,19526,24063,719173,5336,206992,4152,0.00,99294
2,2715,14331,5503495,15013,1881,18,19526,24063,731039,6564,206992,4152,0.00,99294
3,125767,16918,6198585,262362,1881,18,19526,24063,962841,7808,206992,4152,16.56,99294
4,245342,20236,6892694,496282,1881,18,19526,24063,1200465,8915,206992,4152,16.59,99294
5,357184,22914,7594957,793518,1881,18,19526,24063,1431650,10063,206992,4152,16.30,99294
6,473633,26072,9175568,1018148,1881,18,19526,24063,1661242,11108,206992,4152,16.55,99294
7,590612,29174,8999256,1278516,1881,18,19526,24063,1895677,12082,206992,4152,16.85,99294
8,708600,31988,9702066,1502351,1881,18,19526,24063,2123992,13227,206992,4152,16.20,99294
9,825426,35357,11334095,1729081,1881,18,19526,24063,2354273,14481,206992,4152,16.60,99294
10,940730,38233,11110085,1956156,1881,18,19526,24063,2586516,15627,206992,4152,16.36,99294
11,1058233,41027,11812265,2181712,1881,18,19526,24063,2819049,16811,206992,4152,16.52,99294
12,1175884,44520,12518822,2406765,1881,18,19526,24063,3047912,17973,206992,4152,16.71,99294
13,1294290,47234,13218342,2636997,1881,18,19526,24063,3282312,19122,206992,4152,16.70,99294
14,1410501,49624,13922355,2859916,1881,18,19526,24063,3511563,20340,206992,4152,16.19,99294
15,1526091,53090,15710028,3083677,1881,18,19526,24063,3742034,21515,206992,4152,16.51,99294
16,1644725,55884,15325981,3313029,1881,18,19526,24063,3975792,22670,206992,4152,16.72,99294
17,1761870,58486,16032679,3536675,1881,18,19526,24063,4203487,23783,206992,4152,16.20,99294
18,1878588,61685,16726005,3765384,1881,18,19526,24063,4436704,24906,206992,4152,16.71,99294
19,1996689,64942,18627277,3992891,1881,18,19526,24063,4673445,26149,206992,4152,16.66,99294
20,2113302,67348,18121218,4216958,1881,18,19526,24063,4903102,27270,206992,4152,16.23,99294
21,2230625,70857,18824718,4444604,1881,18,19526,24063,5134096,28459,206992,4152,16.63,99294
22,2346363,73906,19517200,4674095,1881,18,19526,24063,5368640,29725,206992,4152,16.68,99294
23,2459447,76687,20225049,4899284,1881,18,19526,24063,5596318,30936,206992,4152,16.29,99294
24,2574746,80022,20923653,5130628,1881,18,19526,24063,5828871,32121,206992,4152,16.71,99294
25,2691329,82615,21623813,5364172,1881,18,19526,24063,6063069,33264,206992,4152,16.46,99294
26,2805599,85564,22322029,5593076,1881,18,19526,24063,6293291,34568,206992,4152,16.25,99294
27,2921670,92486,24468861,5826762,1881,18,19526,24063,6525941,35869,206992,4152,16.71,99294
28,3037819,95231,23705908,6061227,1881,18,19526,24063,6760105,37048,206992,4152,16.71,99294
29,3149656,97647,24408758,6288124,1881,18,19526,24063,6986243,38295,206992,4152,16.17,99294
30,3265268,101009,25104900,6518923,1881,18,19526,24063,7217119,39603,206992,4152,16.55,99294
31,3381675,103731,25800800,6750417,1881,18,19526,24063,7450521,40785,206992,4152,16.52,99294
32,3496864,106248,26502397,6979969,1881,18,19526,24063,7679162,42029,206992,4152,16.39,99294
33,3612883,109618,27200190,7211781,1881,18,19526,24063,7911380,43105,206992,4152,16.71,99294
34,3720994,112406,27917933,7425915,1881,18,19526,24063,8129337,44268,206992,4152,15.31,99294
35,3841791,115610,28592385,7670127,1881,18,19526,24063,8375769,45362,206992,4152,17.58,99294
36,3955756,119096,29293280,7901134,1881,18,19526,24063,8607268,46551,206992,4152,16.55,99294
37,4071090,122361,31764657,8134235,1881,18,19526,24063,8842483,47773,206992,4152,16.80,99294
38,4186011,125211,30693486,8364387,1881,18,19526,24063,9072232,48931,206992,4152,16.18,99294
39,4302201,128518,31389123,8594889,1881,18,19526,24063,9304047,50106,206992,4152,16.57,99294
40,4416091,131670,32088618,8825259,1881,18,19526,24063,9536099,51449,206992,4152,16.71,99294
41,4532229,134387,32790222,9058269,1881,18,19526,24063,9769410,52683,206992,4152,16.30,99294
42,4646941,137932,35412295,9289383,1881,18,19526,24063,10004522,54125,206992,4152,16.69,99294
43,4739292,140660,34233456,9477715,1881,18,19526,24063,10195795,55435,206992,4152,13.34,99294
44,4740953,143860,35201414,9488863,1881,18,19526,24063,10222243,57172,206992,4152,0.57,99294
45,4807871,147073,38040172,9619283,1881,18,19526,24063,10366701,58829,206992,4152,9.38,99294
46,4967502,150105,36597856,9928969,1881,18,19526,24063,10681069,60084,206992,4152,23.03,99294
47,5135302,152933,37168907,10252714,1881,18,19526,24063,11006653,61232,206992,4152,23.83,99294
48,5297376,155565,39915026,10563715,1881,18,19526,24063,11319921,62544,206992,4152,22.76,99294
49,5449809,158408,38358194,10864370,1881,18,19526,24063,11623884,63820,206992,4152,21.97,99294
50,5569390,161434,39049754,11096545,1881,18,19526,24063,11864566,65121,206992,4152,17.09,99294
51,5688201,164918,42015372,11323602,1881,18,19526,24063,12098518,66239,206992,4152,16.70,99294
52,5807627,168046,40443226,11552868,1881,18,19526,24063,12333435,67350,206992,4152,16.64,99294
53,5922367,170910,41143861,11775801,1881,18,19526,24063,12562135,68591,206992,4152,16.25,99294
54,6039491,174118,41846738,11999971,1881,18,19526,24063,12791283,69860,206992,4152,16.71,99294
55,6157491,177197,42543223,12230373,1881,18,19526,24063,13026983,70962,206992,4152,16.68,99294
56,6271645,180012,43247312,12453384,1881,18,19526,24063,13253799,72126,206992,4152,16.19,99294
57,6388382,183203,43952099,12676612,1881,18,19526,24063,13481484,73211,206992,4152,16.39,99294
