period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
0,533,1506,4331844,10005,1881,18,19541,12690,709129,3773,206992,4152,0.01,99294
1,6090,12266,4515098,11550,1881,18,19541,12690,721955,5037,206992,4152,0.00,99294
2,6090,14854,5501276,12642,1881,18,19541,12690,733496,6135,206992,4152,0.00,99294
3,125232,17671,7043642,267355,1881,18,19541,12690,967987,7321,206992,4152,16.74,99294
4,241847,20673,6901370,493608,1881,18,19541,12690,1201434,8655,206992,4152,16.57,99294
5,357021,23166,7603386,770495,1881,18,19541,12690,1433767,9911,206992,4152,16.29,99294
6,470128,26304,8304958,1073338,1881,18,19541,12690,1665070,11189,206992,4152,16.44,99294
7,587141,29276,9779872,1355809,1881,18,19541,12690,1902987,12434,206992,4152,16.94,99294
8,702138,32081,9700746,1630556,1881,18,19541,12690,2131845,13438,206992,4152,16.23,99294
9,814091,35521,11114527,1933726,1881,18,19541,12690,2364112,14647,206992,4152,16.72,99294
10,931152,38412,11100702,2218657,1881,18,19541,12690,2600609,15824,206992,4152,16.62,99294
11,1042147,41348,11808463,2493422,1881,18,19541,12690,2831114,16927,206992,4152,16.18,99294
12,1138065,49675,12946367,2993816,1881,18,19541,12690,3042382,18321,206992,4152,14.05,99294
13,1140005,66028,13555431,3389100,1881,18,19541,12690,3075198,20101,206992,4152,0.51,99294
14,1165894,76774,14478158,3504717,1881,18,19541,12690,3144997,21925,206992,4152,3.84,99294
15,1333291,79393,15050407,3827643,1881,18,19541,12690,3469965,23064,206992,4152,23.83,99294
16,1483624,82466,15660597,4122513,1881,18,19541,12690,3769594,24243,206992,4152,21.57,99294
17,1627936,85378,16555955,4404279,1881,18,19541,12690,4057258,25575,206992,4152,20.68,99294
18,1779083,88195,17208197,4697523,1881,18,19541,12690,4358842,26775,206992,4152,21.70,99294
19,1931941,90802,17504740,4991187,1881,18,19541,12690,4657747,28060,206992,4152,21.68,99294
20,2093500,93408,18477097,5311035,1881,18,19541,12690,4981367,29317,206992,4152,23.37,99294
21,2208120,96243,18781184,5536140,1881,18,19541,12690,5213400,30708,206992,4152,16.37,99294
22,2325396,99689,19480598,5764300,1881,18,19541,12690,5446683,31853,206992,4152,16.74,99294
23,2444606,103011,20668519,5992379,1881,18,19541,12690,5682765,33052,206992,4152,16.67,99294
24,2558618,105923,20878847,6217832,1881,18,19541,12690,5911164,34265,206992,4152,16.43,99294
