period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,537,4836,5171477,10866,18,19502,24519,4658,715871,1881,206992,4152,0.01,99345
1,6096,15617,5337175,12531,18,19502,24519,6007,729275,1881,206992,4152,0.00,99345
2,6096,18198,6323791,13490,18,19502,24519,7296,741213,1881,206992,4152,0.00,99345
3,25246,20783,7261863,72527,18,19502,24519,8715,788947,1881,206992,4152,2.02,99345
4,130301,24023,7985242,277004,18,19502,24519,10161,1000380,1881,206992,4152,14.81,99345
5,140689,30335,9802121,360240,18,19502,24519,11842,1044595,1881,206992,4152,1.74,99345
6,221818,36752,9707315,586856,18,19502,24519,13329,1226870,1881,206992,4152,12.29,99345
7,287987,39881,11315350,801241,18,19502,24519,14889,1370464,1881,206992,4152,9.41,99345
8,318292,43480,12180426,926705,18,19502,24519,16414,1459087,1881,206992,4152,5.04,99345
9,361757,54089,13031394,1098765,18,19502,24519,17793,1557983,1881,206992,4152,6.11,99345
10,443099,56969,13077021,1328468,18,19502,24519,19416,1743577,1881,206992,4152,12.71,99345
11,444631,60343,14050676,1388490,18,19502,24519,21028,1765763,1881,206992,4152,0.20,99345
12,568434,63143,14729475,1702437,18,19502,24519,22282,2012000,1881,206992,4152,17.66,99345
13,597865,71280,15629162,1846318,18,19502,24519,23931,2094792,1881,206992,4152,4.30,99345
14,687353,81604,16394050,2083057,18,19502,24519,25343,2281211,1881,206992,4152,12.84,99345
15,702127,84178,17335556,2196660,18,19502,24519,26914,2328829,1881,206992,4152,1.86,99345
16,766843,86705,18142978,2388400,18,19502,24519,28673,2478688,1881,206992,4152,9.64,99345
17,849780,89792,18916484,2627244,18,19502,24519,30013,2651987,1881,206992,4152,11.72,99345
18,877922,92577,19824182,2744476,18,19502,24519,31751,2730238,1881,206992,4152,4.08,99345
19,879376,95736,20794360,2841005,18,19502,24519,33464,2755668,1881,206992,4152,0.20,99345
20,935484,99121,21629862,3036268,18,19502,24519,35103,2881008,1881,206992,4152,8.12,99345
21,1090915,101943,22220599,3402615,18,19502,24519,36261,3192550,1881,206992,4152,22.66,99345
22,1108941,105145,23144923,3499018,18,19502,24519,38083,3252452,1881,206992,4152,2.78,99345
