period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,Tmr Svc,ipc1,Heap,Stack,Mbps
0,45369429,750399,39393885,5866242,23286,1863,2832446,68564,18,19526,290608,4152,0.01
1,46380075,766039,25127312,5870520,23286,1863,2846362,69816,18,19526,290608,4152,0.00
2,47396518,782739,40664923,5875443,23286,1863,2861609,71150,18,19526,290608,4152,0.00
3,48404733,799087,25803054,5879768,23286,1863,2874487,72345,18,19526,290608,4152,0.00
4,457,4850,4105837,9688,13823,1863,699685,3233,18,19525,290608,4152,0.01
5,6011,15610,4298411,11099,13823,1863,710958,4322,18,19525,290608,4152,0.00
6,6011,18191,5285112,12051,13823,1863,722673,5500,18,19525,290608,4152,0.00
7,77812,21488,6207456,906381,13823,1863,962985,6564,18,19525,290608,4152,15.92
8,145514,25349,6311451,1794793,13823,1863,1191732,7578,18,19525,290608,4152,15.22
9,217384,28432,6392580,2697548,13823,1863,1430459,8663,18,19525,290608,4152,16.01
10,281113,31792,6466340,3617692,13823,1863,1648013,9704,18,19525,290608,4152,14.01
11,343380,35394,6542655,4534422,13823,1863,1866043,10771,18,19525,290608,4152,14.45
12,405042,38381,6634225,5443382,13823,1863,2078139,11823,18,19525,290608,4152,13.70
13,467313,42471,6708264,6377764,13823,1863,2295331,12890,18,19525,290608,4152,14.09
14,530415,45942,6792197,7294940,13823,1863,2513089,13950,18,19525,290608,4152,14.35
15,590112,49815,6901094,8171393,13823,1863,2720311,14840,18,19525,290608,4152,13.39
16,654345,52948,12660457,9088182,13823,1863,2938459,15888,18,19525,290608,4152,14.31
17,718572,69163,7080165,10021772,13823,1863,3155337,17017,18,19525,290608,4152,14.49
18,779472,72494,7170800,10912081,13823,1863,3362569,17926,18,19525,290608,4152,13.59
19,841448,75988,7260996,11824038,13823,1863,3570740,19005,18,19525,290608,4152,13.79
20,905208,81047,7350846,12725416,13823,1863,3784166,20108,18,19525,290608,4152,14.11
21,965995,84324,7440159,13625851,13823,1863,3996514,21118,18,19525,290608,4152,13.61
22,1030194,87675,7518179,14549741,13823,1863,4217493,22129,18,19525,290608,4152,14.49
23,1089549,91041,17927968,15419231,13823,1863,4420170,23193,18,19525,290608,4152,13.01
24,1151617,94705,7728572,16336412,13823,1863,4636939,24212,18,19525,290608,4152,13.89
25,1216490,98165,7817495,17244516,13823,1863,4853356,25226,18,19525,290608,4152,14.16
