period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,530,1713,4106916,7439,19,19510,24521,700223,3358,1843,290608,4152,0.01
1,6033,12181,4291174,11229,19,19510,24521,723416,4756,1843,290608,4152,0.00
2,6033,14807,5274524,13865,19,19510,24521,737947,6280,1843,290608,4152,0.00
3,82813,17523,6263490,841914,19,19510,24521,967758,7479,1843,290608,4152,16.00
4,159026,21300,6710048,1698490,19,19510,24521,1205549,8717,1843,290608,4152,16.97
5,228861,24748,6533418,2560635,19,19510,24521,1427648,9960,1843,290608,4152,15.66
6,300754,27802,6628661,3456972,19,19510,24521,1658360,11273,1843,290608,4152,16.28
7,370627,31405,6749942,4326717,19,19510,24521,1880797,12395,1843,290608,4152,15.56
8,442511,35157,6856180,5216596,19,19510,24521,2106713,13643,1843,290608,4152,15.90
9,513364,38696,6977908,6082981,19,19510,24521,2324969,14805,1843,290608,4152,15.54
10,585112,41951,11075242,6982941,19,19510,24521,2551053,16058,1843,290608,4152,16.18
11,656608,44967,11800051,7867211,19,19510,24521,2781500,17363,1843,290608,4152,16.05
12,731471,61015,12539628,8780821,19,19510,24521,3013455,18638,1843,290608,4152,16.48
13,804865,79682,13283049,9704270,19,19510,24521,3247757,19996,1843,290608,4152,16.61
14,877677,92741,7515392,10587827,19,19510,24521,3475805,21323,1843,290608,4152,16.19
15,950570,97796,7621975,11511385,19,19510,24521,3711825,22563,1843,290608,4152,16.49
16,1025002,110741,15518105,12444586,19,19510,24521,3948034,23826,1843,290608,4152,16.61
17,1098452,124672,7826257,13379116,19,19510,24521,4184731,25107,1843,290608,4152,16.77
18,1175483,136684,7914198,14298209,19,19510,24521,4427568,26199,1843,290608,4152,17.16
19,1246909,140624,8049460,15179594,19,19510,24521,4654365,27359,1843,290608,4152,15.84
20,1319219,143717,18464863,16066354,19,19510,24521,4886456,28506,1843,290608,4152,16.08
21,1392422,146741,8237828,16976372,19,19510,24521,5122873,29538,1843,290608,4152,16.93
22,1466259,150611,8322901,17881140,19,19510,24521,5359011,30682,1843,290608,4152,16.53
23,1537422,153784,8443780,18755231,19,19510,24521,5588187,31822,1843,290608,4152,15.91
24,1610309,157569,21353574,19650867,19,19510,24521,5819793,33031,1843,290608,4152,16.28
25,1682821,161206,8659370,20535790,19,19510,24521,6042678,34278,1843,290608,4152,15.91
26,1754909,165418,8778383,21418628,19,19510,24521,6268037,35561,1843,290608,4152,15.95
27,1826427,168716,23553095,22301004,19,19510,24521,6490976,36816,1843,290608,4152,15.75
28,1900574,171680,9008901,23175899,19,19510,24521,6718507,38093,1843,290608,4152,16.36
29,1974391,182827,25026873,24121737,19,19510,24521,6952133,39375,1843,290608,4152,16.75
30,2048271,197352,9211674,25011534,19,19510,24521,7182752,40630,1843,290608,4152,16.53
31,2120561,201233,9343324,25902079,19,19510,24521,7407466,41835,1843,290608,4152,15.90
32,2193682,204756,9448179,26792320,19,19510,24521,7635659,43059,1843,290608,4152,16.08
33,2260572,208270,9621723,27613292,19,19510,24521,7841559,44351,1843,290608,4152,14.68
34,2331986,212136,9733302,28491910,19,19510,24521,8065203,45699,1843,290608,4152,15.94
35,2404080,215588,9842345,29370234,19,19510,24521,8290736,46897,1843,290608,4152,15.91
36,2474195,218574,9973521,30223073,19,19510,24521,8505367,48093,1843,290608,4152,15.52
37,2546892,222501,10072195,31112313,19,19510,24521,8733034,49332,1843,290608,4152,16.16
38,2619892,226109,10178431,31995242,19,19510,24521,8962703,50679,1843,290608,4152,16.04
