period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
2,405,0,4332663,7949,18,19481,24377,703292,3621,1837,290608,4152,0.01,99312
3,4233,11750,4505285,13255,18,19481,24377,718856,5140,1837,290608,4152,0.00,99312
4,4233,14341,5488466,15370,18,19481,24377,733751,6501,1837,290608,4152,0.00,99312
5,84718,17367,6488132,847571,18,19481,24377,960236,7791,1837,290608,4152,16.21,99312
6,160533,20604,6628712,1693475,18,19481,24377,1191857,9029,1837,290608,4152,16.34,99312
7,227199,24245,6720150,2591511,18,19481,24377,1400158,10202,1837,290608,4152,14.37,99312
8,293737,32312,6814814,3493176,18,19481,24377,1610858,11468,1837,290608,4152,14.79,99312
9,361947,42976,6901842,4425205,18,19481,24377,1832439,12790,1837,290608,4152,15.39,99312
10,430428,48208,6988687,5332757,18,19481,24377,2053378,14151,1837,290608,4152,15.36,99312
11,503558,52030,10608647,6241148,18,19481,24377,2286993,15382,1837,290608,4152,16.24,99312
12,575385,55114,7173867,7135939,18,19481,24377,2510886,16666,1837,290608,4152,15.67,99312
13,646223,59256,7260400,8037880,18,19481,24377,2734156,17918,1837,290608,4152,15.63,99312
14,714588,62546,7370061,8923483,18,19481,24377,2957461,19244,1837,290608,4152,15.38,99312
15,784592,66562,7453806,9837173,18,19481,24377,3187267,20593,1837,290608,4152,15.79,99312
16,856660,69859,7553390,10754626,18,19481,24377,3417842,21864,1837,290608,4152,15.96,99312
17,927083,73516,7644954,11659939,18,19481,24377,3646043,23158,1837,290608,4152,15.75,99312
18,1001544,77247,7729180,12575368,18,19481,24377,3887932,24455,1837,290608,4152,16.67,99312
19,1075508,84282,7839908,13458225,18,19481,24377,4121917,25766,1837,290608,4152,16.06,99312
20,1152121,90907,7921334,14382033,18,19481,24377,4367732,27009,1837,290608,4152,17.19,99312
21,1222486,94583,8020660,15280617,18,19481,24377,4598884,28297,1837,290608,4152,15.85,99312
22,1296117,101308,8121317,16179326,18,19481,24377,4837542,29579,1837,290608,4152,16.48,99312
23,1370663,104942,8211013,17086717,18,19481,24377,5084301,30860,1837,290608,4152,17.05,99312
24,1442756,115376,8324543,17990438,18,19481,24377,5322002,32144,1837,290608,4152,16.34,99312
25,1513316,118998,8447247,18870895,18,19481,24377,5548538,33404,1837,290608,4152,15.50,99312
26,1589258,122286,21467160,19789754,18,19481,24377,5793708,34792,1837,290608,4152,16.94,99312
27,1659446,125134,8647334,20643155,18,19481,24377,6027778,36047,1837,290608,4152,16.20,99312
28,1736032,128494,8752808,21530076,18,19481,24377,6268585,37280,1837,290608,4152,16.74,99312
29,1808578,131921,8879591,22400857,18,19481,24377,6504118,38498,1837,290608,4152,16.04,99312
30,1881994,134865,8970286,23294017,18,19481,24377,6747000,39866,1837,290608,4152,16.92,99312
31,1954132,140315,9121539,24144875,18,19481,24377,6977814,41122,1837,290608,4152,15.93,99312
32,2031874,143859,9204888,25062916,18,19481,24377,7225971,42432,1837,290608,4152,17.32,99312
33,2106936,147586,9328452,25940204,18,19481,24377,7465120,43709,1837,290608,4152,16.32,99312
34,2179973,150730,9444649,26815929,18,19481,24377,7700110,45003,1837,290608,4152,16.31,99312
