period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,448,4847,4072090,7620,19,19509,24375,3112,702462,1843,290608,4152,0.01
1,6012,15611,4243551,11749,19,19509,24375,4490,717160,1843,290608,4152,0.00
2,7994,20516,6069272,26533,19,19509,24375,5901,736767,1843,290608,4152,0.21
3,82612,27085,6211162,876064,19,19509,24375,7101,969014,1843,290608,4152,16.41
4,160068,30906,6653263,1720459,19,19509,24375,8296,1205132,1843,290608,4152,16.75
5,230624,34217,6488791,2575187,19,19509,24375,9556,1431846,1843,290608,4152,16.01
6,305753,37716,8096476,3462951,19,19509,24375,10855,1665345,1843,290608,4152,16.52
7,379867,40911,6688155,4349225,19,19509,24375,12051,1897604,1843,290608,4152,16.49
8,454527,44423,9569975,5263459,19,19509,24375,13330,2129250,1843,290608,4152,16.23
9,527269,47790,6898180,6150559,19,19509,24375,14585,2358304,1843,290608,4152,16.45
10,602550,50776,6967454,7065524,19,19509,24375,15898,2598490,1843,290608,4152,17.05
11,675376,54304,7080184,7941180,19,19509,24375,17181,2829317,1843,290608,4152,16.25
12,749071,62305,12438570,8840899,19,19509,24375,18561,3064418,1843,290608,4152,16.49
13,821541,72777,7292470,9746414,19,19509,24375,19851,3299220,1843,290608,4152,16.45
14,895367,76238,7395494,10635900,19,19509,24375,21135,3533063,1843,290608,4152,16.49
15,968604,80146,7504568,11517959,19,19509,24375,22427,3763631,1843,290608,4152,16.38
16,1043425,83237,7588396,12422805,19,19509,24375,23555,3997034,1843,290608,4152,16.79
17,1111972,90702,7704125,13303901,19,19509,24375,24876,4224287,1843,290608,4152,15.81
18,1188176,97264,16793213,14188999,19,19509,24375,26168,4448992,1843,290608,4152,16.31
19,1261109,100321,17524944,15046841,19,19509,24375,27416,4669791,1843,290608,4152,15.85
20,1331796,103753,8074230,15898456,19,19509,24375,28643,4891802,1843,290608,4152,15.80
21,1406321,107084,18964457,16789416,19,19509,24375,29957,5121645,1843,290608,4152,16.49
22,1479331,112609,19682293,17702205,19,19509,24375,31147,5352316,1843,290608,4152,16.54
23,1550907,123347,8420040,18531828,19,19509,24375,32464,5564132,1843,290608,4152,15.16
24,1623029,127134,8562155,19382736,19,19509,24375,33570,5784258,1843,290608,4152,15.79
25,1694397,130708,8701330,20240528,19,19509,24375,34937,6009809,1843,290608,4152,15.72
26,1766293,134072,22604122,21101842,19,19509,24375,36233,6234086,1843,290608,4152,15.94
27,1838095,137480,8934255,21981285,19,19509,24375,37437,6454410,1843,290608,4152,15.79
28,1913976,140911,9037833,22861808,19,19509,24375,38735,6681024,1843,290608,4152,16.38
29,1987129,144642,9172689,23732086,19,19509,24375,39979,6908857,1843,290608,4152,16.07
30,2059961,147682,9296283,24601319,19,19509,24375,41253,7134151,1843,290608,4152,16.09
31,2134499,151755,9416200,25470219,19,19509,24375,42510,7357155,1843,290608,4152,16.14
32,2199362,155108,9591437,26288614,19,19509,24375,43748,7566027,1843,290608,4152,14.59
33,2269772,159057,9756821,27120467,19,19509,24375,44990,7782378,1843,290608,4152,15.33
34,2339919,162600,28473376,27942246,19,19509,24375,46248,7996712,1843,290608,4152,15.16
35,2410977,165426,10063253,28788977,19,19509,24375,47566,8216604,1843,290608,4152,15.66
36,2483851,168841,10201913,29637056,19,19509,24375,48874,8434556,1843,290608,4152,15.72
37,2553502,172795,10341842,30492799,19,19509,24375,50184,8650920,1843,290608,4152,15.29
38,2625235,176085,10462257,31361287,19,19509,24375,51520,8873040,1843,290608,4152,16.07
39,2699887,179685,10570226,32247092,19,19509,24375,52838,9100715,1843,290608,4152,16.40
40,2774010,183616,10663286,33149761,19,19509,24375,54141,9336030,1843,290608,4152,16.75
41,2848293,187376,10771433,34036318,19,19509,24375,55402,9566129,1843,290608,4152,16.50
