period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,536,3649,101692,3394879,9627,18,19482,23720,700454,3699,1843,290608,4152,0.01
1,5948,13414,101692,4387971,11113,18,19482,23720,712729,4844,1843,290608,4152,0.00
2,5948,16036,101692,5374474,11917,18,19482,23720,724697,6000,1843,290608,4152,0.00
3,82454,18628,101692,6427097,784506,18,19482,23720,927733,7249,1843,290608,4152,14.92
4,161189,22770,101692,6829421,1642218,18,19482,23720,1160111,8562,1843,290608,4152,16.97
5,234784,25884,101692,7547817,2526330,18,19482,23720,1386743,9815,1843,290608,4152,16.26
6,302099,28961,101692,8285628,3368934,18,19482,23720,1606037,11069,1843,290608,4152,15.29
7,374937,43018,101692,6948642,4245896,18,19482,23720,1832344,12401,1843,290608,4152,16.23
8,446803,46684,101692,7062797,5125440,18,19482,23720,2052658,13538,1843,290608,4152,15.83
9,518374,50419,101692,7199561,5986031,18,19482,23720,2278656,14808,1843,290608,4152,15.85
10,589012,54096,101692,7357586,6818303,18,19482,23720,2490209,16078,1843,290608,4152,14.93
11,658184,57064,101692,7544617,7621412,18,19482,23720,2690593,17319,1843,290608,4152,14.46
12,728422,60511,101692,7750115,8399206,18,19482,23720,2888213,18450,1843,290608,4152,14.52
13,797169,64416,101692,7937832,9208202,18,19482,23720,3087545,19770,1843,290608,4152,14.23
14,865029,71705,101692,8121484,10018303,18,19482,23720,3294048,21041,1843,290608,4152,14.72
15,938246,77618,101692,8254465,10882436,18,19482,23720,3517098,22331,1843,290608,4152,16.05
16,1010950,80804,101692,8379713,11751437,18,19482,23720,3738672,23543,1843,290608,4152,15.94
17,1086516,84150,101692,8457413,12664583,18,19482,23720,3978858,24844,1843,290608,4152,17.21
18,1161705,87626,101692,8578723,13548748,18,19482,23720,4207464,26095,1843,290608,4152,16.08
19,1235537,90892,101692,17851482,14451295,18,19482,23720,4442960,27364,1843,290608,4152,16.74
20,1306665,94309,101692,8874596,15235889,18,19482,23720,4648453,28759,1843,290608,4152,14.83
21,1377310,97503,101692,9049876,16044071,18,19482,23720,4857631,29943,1843,290608,4152,14.88
22,1454706,100965,101692,20056935,16906477,18,19482,23720,5077849,31279,1843,290608,4152,15.97
23,1529321,103872,101692,9334251,17742586,18,19482,23720,5293662,32585,1843,290608,4152,15.92
24,1603158,107464,101692,9458799,18608590,18,19482,23720,5521998,33824,1843,290608,4152,16.35
25,1677999,111203,101692,9590049,19470458,18,19482,23720,5759951,35048,1843,290608,4152,16.75
26,1755288,115418,101692,9680494,20391040,18,19482,23720,6005701,36341,1843,290608,4152,17.46
27,1831956,118523,101692,9793508,21272177,18,19482,23720,6243382,37713,1843,290608,4152,16.70
28,1911743,121948,101692,9884233,22168185,18,19482,23720,6485529,39028,1843,290608,4152,17.32
29,1980131,125677,101692,25115020,22920759,18,19482,23720,6685726,40261,1843,290608,4152,14.21
30,2054088,129103,101692,25849693,23735943,18,19482,23720,6900549,41595,1843,290608,4152,15.49
31,2131894,131935,101692,10444732,24584813,18,19482,23720,7122145,42883,1843,290608,4152,16.43
32,2209169,135324,101692,10618318,25400718,18,19482,23720,7332464,44180,1843,290608,4152,15.48
