period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,TmrSvc,ipc1,Heap,Stack,Mbps
6,498,4150,4233891,7076,23697,1843,699293,3503,19,19454,290608,4152,0.01
7,6053,14934,4411196,10670,23697,1843,715605,4979,19,19454,290608,4152,0.00
8,6053,17493,5395896,12435,23697,1843,729191,6347,19,19454,290608,4152,0.00
9,80084,20086,6474874,763651,23697,1843,936247,7548,19,19454,290608,4152,14.94
10,158835,23617,6613414,1609343,23697,1843,1162381,8853,19,19454,290608,4152,16.94
11,234510,26890,6787282,2423250,23697,1843,1378562,10127,19,19454,290608,4152,16.04
12,314554,30226,6901366,3294536,23697,1843,1616358,11420,19,19454,290608,4152,17.17
13,391400,33982,7036517,4152274,23697,1843,1851628,12684,19,19454,290608,4152,16.74
14,472453,37552,7134081,5046439,23697,1843,2091982,13890,19,19454,290608,4152,17.57
15,548587,41265,7282597,5882441,23697,1843,2321185,15221,19,19454,290608,4152,16.42
16,629138,44737,7374728,6784523,23697,1843,2564825,16518,19,19454,290608,4152,17.73
17,704904,48068,7595260,7549774,23697,1843,2770813,17786,19,19454,290608,4152,15.10
18,783889,52090,7816051,8321381,23697,1843,2978687,19029,19,19454,290608,4152,15.07
19,827866,55249,13439414,8755188,23697,1843,3107277,20345,19,19454,290608,4152,8.27
20,849831,57993,14353402,8972108,23697,1843,3179266,21903,19,19454,290608,4152,4.12
21,924842,61033,9381869,9741211,23697,1843,3380678,23102,19,19454,290608,4152,15.16
22,1002456,65210,9508429,10605777,23697,1843,3610820,24394,19,19454,290608,4152,17.01
23,1080136,69021,9654193,11451643,23697,1843,3839581,25696,19,19454,290608,4152,16.54
24,1155383,72263,17281765,12180960,23697,1843,4032940,26939,19,19454,290608,4152,14.17
25,1222273,74994,10278500,12806731,23697,1843,4200336,28184,19,19454,290608,4152,12.12
26,1292706,78589,10602046,13477123,23697,1843,4374826,29467,19,19454,290608,4152,12.96
27,1357681,81421,19633570,14067313,23697,1843,4529609,30591,19,19454,290608,4152,11.46
28,1426959,84516,11300853,14754086,23697,1843,4710893,31829,19,19454,290608,4152,13.45
29,1505950,88003,21129653,15554460,23697,1843,4917713,33105,19,19454,290608,4152,15.58
30,1585046,91586,11672826,16364455,23697,1843,5125465,34267,19,19454,290608,4152,15.86
31,1664048,95168,11820627,17211886,23697,1843,5345178,35501,19,19454,290608,4152,16.61
32,1742705,98688,11927612,18097140,23697,1843,5576668,36825,19,19454,290608,4152,17.36
33,1812657,101794,12215533,18799947,23697,1843,5762147,37916,19,19454,290608,4152,13.72
34,1891255,105683,12381661,19626690,23697,1843,5977926,39109,19,19454,290608,4152,16.11
35,1968240,108691,12538244,20453718,23697,1843,6194444,40351,19,19454,290608,4152,16.35
36,2044344,111735,26238002,21296569,23697,1843,6424867,41669,19,19454,290608,4152,16.59
37,2118837,114916,26947737,22140779,23697,1843,6657932,42943,19,19454,290608,4152,16.69
38,2197270,118372,12986317,22955635,23697,1843,6876776,44195,19,19454,290608,4152,16.14
39,2275365,121831,13102627,23834855,23697,1843,7115561,45394,19,19454,290608,4152,17.40
40,2354338,125129,13268570,24665578,23697,1843,7336476,46742,19,19454,290608,4152,16.29
41,2429545,128815,13462556,25459697,23697,1843,7545029,47981,19,19454,290608,4152,15.62
42,2507511,131695,13593633,26317963,23697,1843,7771406,49262,19,19454,290608,4152,16.96
43,2582415,135399,13801898,27109123,23697,1843,7980497,50447,19,19454,290608,4152,15.60
44,2659117,139544,14003113,27907974,23697,1843,8188104,51659,19,19454,290608,4152,15.62
45,2738065,142578,14169509,28727216,23697,1843,8402963,52954,19,19454,290608,4152,16.13
46,2814317,146259,14378490,29506205,23697,1843,8603944,54132,19,19454,290608,4152,15.26
47,2889574,149529,34250612,30286771,23697,1843,8808284,55383,19,19454,290608,4152,15.41
48,2963351,152888,14824680,31035962,23697,1843,9005409,56599,19,19454,290608,4152,14.70
49,3037034,156188,15079725,31769663,23697,1843,9197668,57745,19,19454,290608,4152,14.31
50,3108710,160238,36516403,32498596,23697,1843,9392258,59042,19,19454,290608,4152,14.26
51,3183048,163681,15585172,33249119,23697,1843,9591423,60150,19,19454,290608,4152,14.73
52,3255241,166971,38023470,33976314,23697,1843,9779188,61241,19,19454,290608,4152,14.18
53,3329834,170413,16085282,34727119,23697,1843,9976710,62409,19,19454,290608,4152,14.83
54,3401695,173907,16327790,35478359,23697,1843,10177650,63602,19,19454,290608,4152,14.72
55,3471747,177585,16575538,36221750,23697,1843,10376460,64749,19,19454,290608,4152,14.61
56,3546120,180934,16802835,36985349,23697,1843,10580040,66080,19,19454,290608,4152,14.98
57,3619581,184417,17050088,37735322,23697,1843,10780635,67337,19,19454,290608,4152,14.64
58,3695773,187721,17241996,38540453,23697,1843,10994404,68600,19,19454,290608,4152,15.80
59,3771784,191651,17456577,39317686,23697,1843,11199204,69811,19,19454,290608,4152,15.25
60,3849423,194412,17643599,40122006,23697,1843,11409550,71159,19,19454,290608,4152,15.80
61,3924861,197791,17839412,40914885,23697,1843,11617102,72396,19,19454,290608,4152,15.56
62,3999196,201238,18046583,41694007,23697,1843,11823040,73670,19,19454,290608,4152,15.37
63,4073302,205166,46170659,42480311,23697,1843,12032961,74960,19,19454,290608,4152,15.56
64,4151493,208617,18397665,43339069,23697,1843,12267270,76196,19,19454,290608,4152,16.92
65,4227631,212421,18561870,44175439,23697,1843,12496901,77509,19,19454,290608,4152,16.50
66,4301443,216024,18710637,45016597,23697,1843,12730351,78745,19,19454,290608,4152,16.57
67,4379657,219438,18854641,45857101,23697,1843,12961673,79947,19,19454,290608,4152,16.75
68,4455881,222347,49775034,46682863,23697,1843,13182263,81314,19,19454,290608,4152,16.24
69,4532506,225384,19194160,47497219,23697,1843,13399654,82545,19,19454,290608,4152,16.10
70,4612735,229072,51216617,48334218,23697,1843,13617582,83821,19,19454,290608,4152,16.41
71,4690943,232285,19506858,49168818,23697,1843,13838105,85106,19,19454,290608,4152,16.39
72,4768191,236025,52673407,50014724,23697,1843,14064358,86347,19,19454,290608,4152,16.53
73,4844398,239205,19812655,50847726,23697,1843,14287234,87552,19,19454,290608,4152,16.40
74,4918797,242790,19962177,51695205,23697,1843,14521476,88780,19,19454,290608,4152,16.71
75,4994172,247136,20119027,52528495,23697,1843,14749859,90065,19,19454,290608,4152,16.36
76,5067025,250278,20288798,53350091,23697,1843,14976942,91310,19,19454,290608,4152,16.15
77,5143777,254351,20402528,54230399,23697,1843,15214905,92629,19,19454,290608,4152,17.22
78,5219897,257348,20550085,55063177,23697,1843,15443861,93883,19,19454,290608,4152,16.50
79,5294177,260998,20753293,55845103,23697,1843,15661033,95140,19,19454,290608,4152,15.33
80,5370908,264417,20942032,56642771,23697,1843,15866794,96384,19,19454,290608,4152,15.73
81,5449837,268325,21110773,57466089,23697,1843,16083477,97576,19,19454,290608,4152,16.15
82,5526005,271443,21257830,58310071,23697,1843,16307688,98764,19,19454,290608,4152,16.66
83,5602794,274912,21405467,59148415,23697,1843,16536754,99965,19,19454,290608,4152,16.52
84,5678565,278797,21548112,59992514,23697,1843,16768597,101188,19,19454,290608,4152,16.67
85,5754174,282288,21675612,60854746,23697,1843,17003863,102531,19,19454,290608,4152,17.06
86,5832602,286085,21799061,61732026,23697,1843,17242654,103817,19,19454,290608,4152,17.35
87,5908516,289616,21951732,62577032,23697,1843,17472708,105034,19,19454,290608,4152,16.63
88,5978919,293325,22147805,63375357,23697,1843,17689272,106280,19,19454,290608,4152,15.62
89,6058738,296664,22269670,64235488,23697,1843,17926391,107434,19,19454,290608,4152,17.06
90,6135515,299814,22426753,65072302,23697,1843,18154189,108725,19,19454,290608,4152,16.51
91,6213511,303059,22533652,65951241,23697,1843,18392895,110051,19,19454,290608,4152,17.38
92,6290251,306596,22674517,66801018,23697,1843,18625386,111365,19,19454,290608,4152,16.73
93,6370125,310265,22827172,67642601,23697,1843,18845619,112647,19,19454,290608,4152,16.52
94,6445035,313285,23041349,68413664,23697,1843,19052339,113874,19,19454,290608,4152,15.26
95,6525635,317073,23199967,69253178,23697,1843,19271126,115131,19,19454,290608,4152,16.49
96,6606951,320747,23310201,70140263,23697,1843,19505800,116373,19,19454,290608,4152,17.51
97,6686141,324389,23440205,71001965,23697,1843,19735715,117645,19,19454,290608,4152,16.97
98,6762648,327703,23578238,71853385,23697,1843,19966086,118999,19,19454,290608,4152,16.86
99,6843197,331360,23667524,72757205,23697,1843,20210311,120202,19,19454,290608,4152,17.84
100,6924733,335205,23764586,73656749,23697,1843,20451925,121360,19,19454,290608,4152,17.76
101,7004215,338224,23915330,74491291,23697,1843,20675655,122673,19,19454,290608,4152,16.59
102,7087888,341933,24053245,75348171,23697,1843,20901461,123838,19,19454,290608,4152,16.95
103,7168768,345445,24195825,76197542,23697,1843,21126296,125075,19,19454,290608,4152,16.71
104,7250782,348995,24307501,77081698,23697,1843,21358864,126280,19,19454,290608,4152,17.41
105,7333155,352496,24418418,77961349,23697,1843,21588031,127564,19,19454,290608,4152,17.29
106,7413760,355892,24559954,78814780,23697,1843,21813717,128876,19,19454,290608,4152,16.84
107,7486956,359005,24785080,79582912,23697,1843,22017015,130134,19,19454,290608,4152,15.08
108,7566431,362341,24909531,80445991,23697,1843,22242381,131344,19,19454,290608,4152,17.03
109,7646311,365924,25017593,81327825,23697,1843,22473613,132545,19,19454,290608,4152,17.43
110,7726513,369458,25134599,82200212,23697,1843,22709315,133778,19,19454,290608,4152,17.26
111,7806786,372806,80682187,83099788,23697,1843,22953337,135051,19,19454,290608,4152,17.73
112,7885153,376416,25346319,83978421,23697,1843,23190391,136348,19,19454,290608,4152,17.39
113,7963572,379539,25463322,84848264,23697,1843,23428786,137636,19,19454,290608,4152,17.22
114,8039423,383007,25621292,85680651,23697,1843,23654301,138861,19,19454,290608,4152,16.44
115,8119478,386504,25717380,86572691,23697,1843,23896560,140147,19,19454,290608,4152,17.58
116,8200757,390333,84225537,87470313,23697,1843,24141764,141442,19,19454,290608,4152,17.63
117,8275515,393998,25947669,88313651,23697,1843,24375428,142599,19,19454,290608,4152,16.78
118,8355349,397719,26054301,89198005,23697,1843,24615205,143876,19,19454,290608,4152,17.41
119,8434441,400830,26157337,90082026,23697,1843,24858393,145177,19,19454,290608,4152,17.44
120,8513271,404741,26252400,90974252,23697,1843,25100053,146526,19,19454,290608,4152,17.62
121,8590836,408338,26383288,91837330,23697,1843,25336718,147775,19,19454,290608,4152,17.01
122,8669025,412141,26535679,92678501,23697,1843,25566368,149063,19,19454,290608,4152,16.53
123,8748712,415279,89177982,93555386,23697,1843,25803148,150320,19,19454,290608,4152,17.28
124,8819558,418293,89906552,94350590,23697,1843,26023999,151423,19,19454,290608,4152,15.65
125,8897130,421986,26997081,95191885,23697,1843,26256300,152682,19,19454,290608,4152,16.64
126,8972586,425764,27150609,96034551,23697,1843,26487281,154057,19,19454,290608,4152,16.51
127,9047961,428545,92073049,96876494,23697,1843,26716944,155262,19,19454,290608,4152,16.48
128,9124519,431427,27404074,97753286,23697,1843,26957419,156517,19,19454,290608,4152,17.28
129,9200191,434890,27549495,98591814,23697,1843,27187705,157821,19,19454,290608,4152,16.62
130,9277445,438959,27698792,99448466,23697,1843,27425401,159092,19,19454,290608,4152,16.85
131,9353576,441960,27822294,100316247,23697,1843,27666187,160375,19,19454,290608,4152,17.15
132,9430709,445232,27951454,101173199,23697,1843,27901397,161622,19,19454,290608,4152,16.93
133,9505391,449074,28095117,102017111,23697,1843,28134720,162749,19,19454,290608,4152,16.70
134,9582479,452457,28228051,102876382,23697,1843,28371911,164001,19,19454,290608,4152,16.92
135,9658032,455939,28381824,103712073,23697,1843,28605054,165167,19,19454,290608,4152,16.46
136,9737242,459741,28493921,104587278,23697,1843,28847135,166462,19,19454,290608,4152,17.27
137,9814375,462830,28632514,105444035,23697,1843,29082904,167809,19,19454,290608,4152,16.95
138,9889285,466339,99932932,106257365,23697,1843,29308579,168980,19,19454,290608,4152,15.90
139,9962751,469078,28969988,107082264,23697,1843,29537482,170276,19,19454,290608,4152,16.37
140,10037551,472760,29126685,107918466,23697,1843,29768362,171526,19,19454,290608,4152,16.44
