period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,TmrSvc,ipc1,Heap,Stack,Mbps,main
0,522,533,4347651,9449,24081,1836,702015,3855,19,19466,290608,4152,0.01,99371
1,2928,11769,4522114,14340,24081,1836,715666,5261,19,19466,290608,4152,0.00,99371
2,2928,14412,5507626,15050,24081,1836,728306,6511,19,19466,290608,4152,0.00,99371
3,82731,17385,6543299,812916,24081,1836,947854,7789,19,19466,290608,4152,15.89,99371
4,166202,20962,6637639,1706744,24081,1836,1186562,9111,19,19466,290608,4152,17.61,99371
5,242490,24749,6773679,2560141,24081,1836,1412550,10354,19,19466,290608,4152,16.65,99371
6,316795,27962,6915434,3411269,24081,1836,1645365,11596,19,19466,290608,4152,16.44,99371
7,389183,31711,7123489,4195210,24081,1836,1852030,12944,19,19466,290608,4152,15.19,99371
8,465485,35259,7294052,5017040,24081,1836,2070878,14086,19,19466,290608,4152,15.97,99371
9,540206,39088,7507478,5793031,24081,1836,2278895,15322,19,19466,290608,4152,14.94,99371
10,616035,42563,7690651,6605974,24081,1836,2496374,16618,19,19466,290608,4152,15.72,99371
11,691644,45476,7841009,7440087,24081,1836,2717381,17853,19,19466,290608,4152,16.30,99371
12,769161,49494,7993972,8274255,24081,1836,2939537,19075,19,19466,290608,4152,16.23,99371
13,841744,52649,8240598,9026786,24081,1836,3141303,20295,19,19466,290608,4152,14.64,99371
14,918165,56099,8397568,9867040,24081,1836,3370286,21495,19,19466,290608,4152,16.40,99371
15,993745,59743,8581014,10674860,24081,1836,3587394,22741,19,19466,290608,4152,15.66,99371
16,1073976,63112,8698228,11546319,24081,1836,3818691,23865,19,19466,290608,4152,17.02,99371
17,1152245,66812,8849207,12396072,24081,1836,4044227,25167,19,19466,290608,4152,16.61,99371
18,1222135,70387,9109004,13124470,24081,1836,4242156,26455,19,19466,290608,4152,14.08,99371
19,1296634,74133,9320101,13913465,24081,1836,4452736,27709,19,19466,290608,4152,15.19,99371
20,1371083,77295,18635060,14712874,24081,1836,4661707,28933,19,19466,290608,4152,15.46,99371
21,1440897,80456,9743539,15465508,24081,1836,4865796,30137,19,19466,290608,4152,14.61,99371
22,1515209,83868,9904452,16287989,24081,1836,5088056,31301,19,19466,290608,4152,15.93,99371
23,1595369,87921,10001716,17185871,24081,1836,5330297,32643,19,19466,290608,4152,17.49,99371
24,1672113,91502,10136003,18046093,24081,1836,5563681,33947,19,19466,290608,4152,16.70,99371
25,1749111,94836,10252249,18928362,24081,1836,5801759,35261,19,19466,290608,4152,17.12,99371
26,1823471,98059,10417559,19747838,24081,1836,6024240,36387,19,19466,290608,4152,16.05,99371
27,1900245,101744,10551100,20607424,24081,1836,6260506,37655,19,19466,290608,4152,16.76,99371
28,1972159,104958,10747848,21397650,24081,1836,6480131,38883,19,19466,290608,4152,15.29,99371
29,2047031,108325,10941041,22197991,24081,1836,6695818,40188,19,19466,290608,4152,15.55,99371
30,2121672,111815,11120233,23004467,24081,1836,6911221,41365,19,19466,290608,4152,15.63,99371
31,2199027,115220,11276479,23839717,24081,1836,7131603,42589,19,19466,290608,4152,16.12,99371
32,2276380,119076,11425196,24681700,24081,1836,7357786,43782,19,19466,290608,4152,16.36,99371
33,2354736,122891,11530693,25568626,24081,1836,7595530,45107,19,19466,290608,4152,17.17,99371
34,2434140,126076,11640986,26453874,24081,1836,7836155,46374,19,19466,290608,4152,17.20,99371
35,2511484,129659,29439856,27334962,24081,1836,8074964,47627,19,19466,290608,4152,17.10,99371
36,2587892,132957,11887947,28192186,24081,1836,8309390,48896,19,19466,290608,4152,16.65,99371
37,2664574,135900,11989341,29078492,24081,1836,8553188,50144,19,19466,290608,4152,17.30,99371
38,2742233,139561,12137435,29934888,24081,1836,8783041,51491,19,19466,290608,4152,16.56,99371
39,2813696,142959,32325618,30695255,24081,1836,8986254,52796,19,19466,290608,4152,14.64,99371
40,2885898,146119,33063272,31465131,24081,1836,9194423,54059,19,19466,290608,4152,14.93,99371
41,2954859,149690,12826960,32204663,24081,1836,9391898,55231,19,19466,290608,4152,14.31,99371
42,3025165,152881,34577849,32885917,24081,1836,9575125,56442,19,19466,290608,4152,13.00,99371
43,3102102,155854,13312744,33700386,24081,1836,9787127,57662,19,19466,290608,4152,15.85,99371
44,3176764,159532,13477814,34528180,24081,1836,10005589,58879,19,19466,290608,4152,16.00,99371
45,3255715,163310,13619028,35374854,24081,1836,10231163,60183,19,19466,290608,4152,16.36,99371
46,3337631,166656,13719430,36267154,24081,1836,10465573,61464,19,19466,290608,4152,17.29,99371
47,3415859,169993,13834824,37142421,24081,1836,10701223,62783,19,19466,290608,4152,16.96,99371
48,3490243,173308,38905139,37938256,24081,1836,10913561,64037,19,19466,290608,4152,15.33,99371
49,3564027,176470,14255801,38698347,24081,1836,11110426,65241,19,19466,290608,4152,14.79,99371
50,3638088,179989,14454350,39488896,24081,1836,11320769,66400,19,19466,290608,4152,15.22,99371
51,3713528,183395,41128863,40276261,24081,1836,11530958,67735,19,19466,290608,4152,15.11,99371
52,3790882,186395,41858974,41082275,24081,1836,11739837,69001,19,19466,290608,4152,15.59,99371
53,3867247,188955,14982931,41936264,24081,1836,11967137,70238,19,19466,290608,4152,16.55,99371
54,3946557,193141,15118356,42799126,24081,1836,12197689,71535,19,19466,290608,4152,16.63,99371
55,4024873,196133,15235987,43677572,24081,1836,12433245,72743,19,19466,290608,4152,17.03,99371
56,4105140,200075,15341680,44564336,24081,1836,12671655,74078,19,19466,290608,4152,17.10,99371
57,4178743,203078,15530982,45361345,24081,1836,12886731,75322,19,19466,290608,4152,15.40,99371
58,4258319,206566,15694924,46191949,24081,1836,13106869,76480,19,19466,290608,4152,16.00,99371
59,4334007,210527,15883469,47002778,24081,1836,13321241,77698,19,19466,290608,4152,15.60,99371
60,4404459,213612,47660455,47760495,24081,1836,13523734,79008,19,19466,290608,4152,14.56,99371
61,4478715,216894,16319169,48552417,24081,1836,13735262,80408,19,19466,290608,4152,15.35,99371
62,4555380,220607,16454333,49408236,24081,1836,13967133,81631,19,19466,290608,4152,16.50,99371
