period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,esp_timer,wifi,sys_evt,ipc0,Heap,Stack,Mbps,main
1,416,263,4346337,7905,19,19527,3386,699919,24472,1836,290608,4152,0.01,99702
2,4441,11666,4521208,13895,19,19527,4882,715681,24472,1836,290608,4152,0.00,99702
3,4441,14266,5507578,14389,19,19527,6006,727631,24472,1836,290608,4152,0.00,99702
4,87021,17110,6546544,803512,19,19527,7167,942862,24472,1836,290608,4152,15.85,99702
5,164371,20595,6737694,1599870,19,19527,8460,1156561,24472,1836,290608,4152,15.72,99702
6,239468,24214,6899279,2432710,19,19527,9669,1377498,24472,1836,290608,4152,16.01,99702
7,317796,27810,8394923,3290593,19,19527,10915,1608896,24472,1836,290608,4152,16.58,99702
8,389919,30754,7191412,4126375,19,19527,12082,1838030,24472,1836,290608,4152,16.09,99702
9,468394,34708,7323035,4989446,19,19527,13380,2072041,24472,1836,290608,4152,16.63,99702
10,545320,37997,7479354,5831385,19,19527,14581,2296640,24472,1836,290608,4152,16.09,99702
11,624271,41459,7632064,6666032,19,19527,15804,2514338,24472,1836,290608,4152,15.92,99702
12,702495,45352,7752536,7536724,19,19527,17053,2745193,24472,1836,290608,4152,16.68,99702
13,778328,49012,7907277,8376396,19,19527,18376,2971204,24472,1836,290608,4152,16.01,99702
14,854288,52396,8044519,9232273,19,19527,19572,3196477,24472,1836,290608,4152,16.39,99702
15,930825,56317,8232143,10031198,19,19527,20799,3410433,24472,1836,290608,4152,15.19,99702
16,1005089,59677,8448584,10807465,19,19527,21969,3616219,24472,1836,290608,4152,14.76,99702
17,1081010,62827,8615939,11634030,19,19527,23200,3833685,24472,1836,290608,4152,15.75,99702
18,1156122,66406,8856959,12383113,19,19527,24313,4027938,24472,1836,290608,4152,14.28,99702
19,1235195,69785,9010393,13222763,19,19527,25586,4250973,24472,1836,290608,4152,16.13,99702
20,1303849,73046,9304418,13922470,19,19527,26879,4435370,24472,1836,290608,4152,13.28,99702
21,1383180,76518,9428094,14781956,19,19527,28174,4663005,24472,1836,290608,4152,16.58,99702
22,1458760,79777,9671924,15536397,19,19527,29353,4860566,24472,1836,290608,4152,14.36,99702
23,1537342,83532,9827274,16375450,19,19527,30587,5082477,24472,1836,290608,4152,16.04,99702
24,1615317,86689,9960136,17234021,19,19527,31828,5309186,24472,1836,290608,4152,16.55,99702
25,1669256,90107,21550408,17819630,19,19527,33313,5471359,24472,1836,290608,4152,11.06,99702
26,1670885,93312,22520409,17863152,19,19527,34944,5497983,24472,1836,290608,4152,0.21,99702
27,1672605,96435,23495180,17914643,19,19527,35884,5520649,24472,1836,290608,4152,0.26,99702
28,1674303,99147,24472757,17961917,19,19527,36696,5541153,24472,1836,290608,4152,0.25,99702
29,1745171,102522,13502657,18679351,19,19527,37943,5737958,24472,1836,290608,4152,13.77,99702
30,1822048,105899,13690331,19484939,19,19527,39202,5950553,24472,1836,290608,4152,15.58,99702
31,1901954,109281,26666151,20334094,19,19527,40476,6173502,24472,1836,290608,4152,16.35,99702
32,1977763,112877,14017317,21136558,19,19527,41719,6386537,24472,1836,290608,4152,15.49,99702
33,2054058,116370,14192709,21955112,19,19527,42944,6604097,24472,1836,290608,4152,15.64,99702
34,2127975,119444,28855498,22734457,19,19527,44197,6810970,24472,1836,290608,4152,14.92,99702
35,2204401,122992,14569301,23565171,19,19527,45495,7029253,24472,1836,290608,4152,15.96,99702
36,2279093,126254,14721317,24408481,19,19527,46782,7258251,24472,1836,290608,4152,16.07,99702
37,2355065,129983,14889144,25238072,19,19527,48059,7478561,24472,1836,290608,4152,15.77,99702
