period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,6768371,1231200,68677244,114851495,18,19453,24382,219424,24408249,1837,290608,4152,14.02,99593
1,6938053,1245276,68781632,115716744,18,19453,24382,220725,24594642,1837,290608,4152,12.55,99593
2,511,527,4377286,7675,18,19455,24386,3566,699672,1837,290608,4152,0.01,99573
3,4426,11781,4553451,12287,18,19455,24386,4885,713664,1837,290608,4152,0.00,99573
4,4426,14376,5537975,14226,18,19455,24386,6215,727638,1837,290608,4152,0.00,99573
5,23680,16961,6458467,200845,18,19455,24386,7933,790269,1837,290608,4152,3.08,99573
6,59245,19956,7726460,666143,18,19455,24386,9206,908108,1837,290608,4152,7.71,99573
7,116831,23617,8083080,1585331,18,19455,24386,10364,1103378,1837,290608,4152,13.08,99573
8,152562,41442,8161009,2236801,18,19455,24386,11747,1231529,1837,290608,4152,7.89,99573
9,155901,51001,8874213,2522810,18,19455,24386,13514,1260514,1837,290608,4152,0.27,99573
10,214153,54366,8949517,3440192,18,19455,24386,14489,1467143,1837,290608,4152,13.62,99573
11,274196,57479,11442478,4334104,18,19455,24386,15779,1660892,1837,290608,4152,12.71,99573
12,300269,71488,12316192,4887616,18,19455,24386,17310,1768290,1837,290608,4152,6.19,99573
13,348063,88283,9709675,5683502,18,19455,24386,18553,1939109,1837,290608,4152,10.48,99573
14,387814,94796,10006075,6387582,18,19455,24386,19758,2076359,1837,290608,4152,8.49,99573
15,427006,98191,14794867,7084802,18,19455,24386,21093,2212329,1837,290608,4152,8.31,99573
16,462970,101578,10663343,7719284,18,19455,24386,22442,2340814,1837,290608,4152,7.65,99573
17,503006,105398,10988743,8397478,18,19455,24386,23690,2485205,1837,290608,4152,9.01,99573
18,541622,108785,17318520,9049179,18,19455,24386,25085,2618021,1837,290608,4152,8.20,99573
19,575934,111882,18167150,9654338,18,19455,24386,26319,2742229,1837,290608,4152,7.58,99573
20,612252,115117,19006735,10315011,18,19455,24386,27742,2881486,1837,290608,4152,8.19,99573
21,654713,128529,19836261,11002905,18,19455,24386,29059,3028307,1837,290608,4152,9.06,99573
22,694422,131639,20663428,11695508,18,19455,24386,30256,3170153,1837,290608,4152,8.66,99573
