period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,537,4833,4103900,7762,18,36472,13835,3113,700206,1888,206992,4152,0.01
1,6200,15812,4296529,11028,18,36472,13835,4369,713815,1888,206992,4152,0.12
2,140362,24431,5836662,243156,18,36472,13835,5653,954000,1888,206992,4152,16.96
3,254768,27275,5695103,479197,18,36472,13835,6829,1179419,1888,206992,4152,16.21
4,373884,30222,6398263,720501,18,36472,13835,7918,1409940,1888,206992,4152,16.70
5,490829,33084,7099679,987244,18,36472,13835,9163,1643329,1888,206992,4152,16.69
6,604145,35831,7806904,1250354,18,36472,13835,10382,1870663,1888,206992,4152,16.18
7,721280,39308,8506203,1489965,18,36472,13835,11694,2102098,1888,206992,4152,16.72
8,741635,42003,9427649,1590190,18,36472,13835,13494,2168749,1888,206992,4152,3.18
9,786273,44943,10293636,1727542,18,36472,13835,15003,2270867,1888,206992,4152,6.56
10,942627,47751,10895762,2067796,18,36472,13835,16322,2578384,1888,206992,4152,22.38
11,1105243,50813,11478959,2390447,18,36472,13835,17679,2894600,1888,206992,4152,23.39
12,1268072,53482,12062829,2741213,18,36472,13835,19014,3215093,1888,206992,4152,23.21
13,1409991,56556,13563280,3055347,18,36472,13835,20451,3494293,1888,206992,4152,20.47
14,1526543,59585,13400776,3321281,18,36472,13835,21560,3725716,1888,206992,4152,16.49
15,1636280,62783,14107788,3553420,18,36472,13835,22928,3948633,1888,206992,4152,16.19
16,1755155,65508,15662725,3824456,18,36472,13835,24158,4185515,1888,206992,4152,16.76
17,1871219,68518,15504111,4092985,18,36472,13835,25400,4414958,1888,206992,4152,16.55
18,1984580,71354,16206555,4353815,18,36472,13835,26641,4640632,1888,206992,4152,16.18
19,2104183,74768,16893880,4594876,18,36472,13835,27755,4873357,1888,206992,4152,16.71
20,2220886,77784,17578395,4863636,18,36472,13835,29102,5106631,1888,206992,4152,16.73
21,2444026,84397,18989953,5375426,18,36472,13835,31855,5546403,1888,206992,4152,14.83
22,2587255,87363,19651386,5652319,18,36472,13835,33042,5804317,1888,206992,4152,18.33
23,2714782,90210,20343361,5927764,18,36472,13835,34243,6036728,1888,206992,4152,16.46
24,2837003,93412,21912353,6198903,18,36472,13835,35485,6267350,1888,206992,4152,16.44
25,2952453,96157,21723556,6467427,18,36472,13835,36841,6502786,1888,206992,4152,16.69
26,3069965,99387,22423578,6706434,18,36472,13835,38132,6732379,1888,206992,4152,16.48
27,3186838,102108,23119398,6972161,18,36472,13835,39465,6959795,1888,206992,4152,16.19
28,3304525,105313,23802059,7243285,18,36472,13835,40893,7194444,1888,206992,4152,16.72
29,3376276,108484,24599280,7433697,18,36472,13835,42457,7348556,1888,206992,4152,10.38
30,3462822,111771,25363836,7617359,18,36472,13835,43893,7524508,1888,206992,4152,12.03
31,3604512,114971,25994146,7930508,18,36472,13835,45328,7801296,1888,206992,4152,20.07
32,3760481,117753,27531601,8267938,18,36472,13835,46721,8105225,1888,206992,4152,22.27
33,3889300,120821,27275203,8557658,18,36472,13835,47923,8355450,1888,206992,4152,18.08
34,4003833,123280,27972840,8796308,18,36472,13835,49291,8585981,1888,206992,4152,16.41
35,4060468,126506,28811304,8959328,18,36472,13835,50831,8713441,1888,206992,4152,8.43
