period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,461,4678,4089824,7100,18,19527,24520,697133,3163,1863,290608,4152,0.01
1,6007,15465,4268075,11164,18,19527,24520,714578,4836,1863,290608,4152,0.00
2,6007,18088,5255307,12087,18,19527,24520,725829,5938,1863,290608,4152,0.00
3,69309,20677,6302640,796013,18,19527,24520,928665,6907,1863,290608,4152,13.54
4,138148,24636,6447048,1650522,18,19527,24520,1141508,8011,1863,290608,4152,14.66
5,201730,28104,6572301,2517061,18,19527,24520,1341529,9047,1863,290608,4152,13.97
6,264151,31417,6716344,3367340,18,19527,24520,1544876,10018,1863,290608,4152,13.66
7,329208,35374,6813007,4279728,18,19527,24520,1756471,11080,1863,290608,4152,14.24
8,392479,38874,6954084,5126319,18,19527,24520,1961168,12154,1863,290608,4152,13.78
9,456932,42304,10514129,5990499,18,19527,24520,2166499,13230,1863,290608,4152,13.90
10,515230,45332,11272656,6818304,18,19527,24520,2363011,14318,1863,290608,4152,12.92
11,551214,59384,12120081,7359001,18,19527,24520,2491667,15615,1863,290608,4152,8.00
12,553010,62486,13095493,7455105,18,19527,24520,2513138,17155,1863,290608,4152,0.19
13,555020,65595,14068158,7554504,18,19527,24520,2536976,18805,1863,290608,4152,0.25
14,588343,68718,14927278,8050244,18,19527,24520,2651436,19963,1863,290608,4152,6.81
15,653774,72199,10150594,8914077,18,19527,24520,2851429,21017,1863,290608,4152,13.86
16,721404,76091,10262696,9801100,18,19527,24520,3053311,22196,1863,290608,4152,14.24
17,786442,79461,10350228,10708592,18,19527,24520,3261865,23269,1863,290608,4152,14.16
18,850752,83174,10468845,11587213,18,19527,24520,3466500,24344,1863,290608,4152,14.08
19,913969,86993,10580382,12462472,18,19527,24520,3677297,25398,1863,290608,4152,13.97
20,979045,93798,10673411,13373171,18,19527,24520,3887094,26564,1863,290608,4152,14.13
21,1041256,100883,10834578,14223199,18,19527,24520,4089065,27637,1863,290608,4152,13.54
22,1106236,104153,10982023,15075945,18,19527,24520,4290204,28729,1863,290608,4152,13.69
23,1170100,107600,21704732,15955316,18,19527,24520,4503829,29833,1863,290608,4152,14.10
24,1236727,119273,11218072,16872217,18,19527,24520,4713766,30981,1863,290608,4152,14.34
25,1300331,122886,11350320,17728650,18,19527,24520,4917601,32099,1863,290608,4152,13.68
26,1366044,130620,23971375,18653700,18,19527,24520,5133990,33191,1863,290608,4152,14.67
27,1428424,141096,11575050,19549625,18,19527,24520,5340341,34248,1863,290608,4152,14.11
28,1494389,144792,11692181,20424869,18,19527,24520,5544064,35332,1863,290608,4152,14.07
29,1559265,152911,11814078,21305914,18,19527,24520,5750538,36382,1863,290608,4152,13.82
30,1624033,164280,11959122,22193793,18,19527,24520,5953556,37403,1863,290608,4152,14.14
31,1691812,167911,12054942,23093458,18,19527,24520,6161536,38490,1863,290608,4152,14.46
32,1755987,173163,12154383,23997806,18,19527,24520,6364877,39573,1863,290608,4152,14.11
33,1821148,180737,12253503,24895618,18,19527,24520,6580420,40641,1863,290608,4152,14.39
34,1887821,184441,12330569,25806264,18,19527,24520,6797295,41739,1863,290608,4152,14.59
35,1952530,187490,12447963,26679380,18,19527,24520,7002492,42760,1863,290608,4152,13.97
36,2016191,191003,12570416,27584847,18,19527,24520,7209056,43845,1863,290608,4152,14.04
37,2083927,194750,12654943,28500268,18,19527,24520,7425219,44843,1863,290608,4152,14.86
38,2146662,198071,33041245,29413225,18,19527,24520,7640824,45887,1863,290608,4152,14.26
39,2211647,211556,12869311,30285513,18,19527,24520,7845525,46948,1863,290608,4152,13.90
40,2276348,214878,12989024,31168031,18,19527,24520,8053844,48006,1863,290608,4152,14.04
41,2342356,218619,13087758,32057641,18,19527,24520,8265948,49054,1863,290608,4152,14.24
42,2408105,223737,13215531,32967546,18,19527,24520,8472695,50129,1863,290608,4152,13.94
43,2475109,226849,36824760,33849994,18,19527,24520,8672666,51214,1863,290608,4152,14.15
44,2538773,234683,13477300,34701953,18,19527,24520,8865826,52272,1863,290608,4152,13.44
45,2601389,245765,13662753,35546877,18,19527,24520,9057950,53317,1863,290608,4152,13.23
46,2669020,248958,13740364,36465397,18,19527,24520,9273664,54415,1863,290608,4152,14.69
47,2733329,252666,13841761,37355901,18,19527,24520,9487195,55492,1863,290608,4152,14.23
48,2796243,264828,13981981,38254209,18,19527,24520,9699611,56588,1863,290608,4152,13.90
49,2856901,267869,14135882,39100216,18,19527,24520,9900879,57658,1863,290608,4152,13.52
50,2920929,271359,42146143,39969469,18,19527,24520,10107592,58717,1863,290608,4152,13.56
51,2985453,286929,14404112,40843807,18,19527,24520,10307619,59772,1863,290608,4152,13.90
52,3048611,290701,14543708,41697073,18,19527,24520,10509875,60825,1863,290608,4152,13.60
53,3110980,293887,14651724,42584707,18,19527,24520,10715835,61896,1863,290608,4152,13.69
54,3176499,300962,14782116,43457413,18,19527,24520,10919709,62986,1863,290608,4152,13.96
55,3240654,304327,14898085,44336174,18,19527,24520,11129899,64075,1863,290608,4152,14.10
56,3301977,307882,46689267,45199399,18,19527,24520,11328702,65088,1863,290608,4152,13.36
57,3366739,321486,15158439,46090254,18,19527,24520,11534847,66112,1863,290608,4152,14.16
58,3431480,324478,15289966,46952291,18,19527,24520,11737294,67132,1863,290608,4152,13.66
59,3494138,328172,48962742,47801525,18,19527,24520,11925783,68257,1863,290608,4152,12.95
60,3561585,341528,49718211,48682726,18,19527,24520,12123743,69383,1863,290608,4152,14.02
61,3625960,344619,15718429,49536753,18,19527,24520,12316742,70478,1863,290608,4152,13.65
62,3691472,347828,15826939,50416855,18,19527,24520,12523802,71562,1863,290608,4152,14.02
63,3755912,351428,15962925,51313589,18,19527,24520,12728864,72647,1863,290608,4152,13.71
64,3817997,355058,16113192,52155433,18,19527,24520,12925778,73740,1863,290608,4152,13.42
65,3882252,358297,53529358,52999983,18,19527,24520,13121660,74782,1863,290608,4152,13.30
66,3947203,374736,16407131,53898975,18,19527,24520,13323656,75845,1863,290608,4152,13.99
67,4012106,378322,16515656,54790934,18,19527,24520,13532266,76925,1863,290608,4152,14.25
68,4074810,381568,16648623,55655343,18,19527,24520,13727582,78015,1863,290608,4152,13.25
69,4142257,385856,56587482,56549066,18,19527,24520,13932203,79094,1863,290608,4152,14.36
70,4205228,388555,16885635,57412738,18,19527,24520,14134501,80296,1863,290608,4152,13.86
71,4265615,393407,58086175,58277510,18,19527,24520,14335514,81400,1863,290608,4152,13.49
72,4328806,408030,17148973,59158516,18,19527,24520,14545641,82508,1863,290608,4152,13.97
73,4393810,411705,17244396,60060370,18,19527,24520,14759830,83600,1863,290608,4152,14.49
74,4456248,415233,17371958,60922286,18,19527,24520,14962635,84643,1863,290608,4152,13.81
75,4520376,418666,17489373,61835332,18,19527,24520,15176883,85813,1863,290608,4152,14.09
76,4584361,422207,17604382,62722798,18,19527,24520,15383045,86881,1863,290608,4152,14.21
77,4645682,425783,17726074,63589826,18,19527,24520,15589718,87896,1863,290608,4152,13.77
78,4709130,429379,17832729,64474263,18,19527,24520,15797708,88927,1863,290608,4152,13.66
79,4767907,433253,18047328,65262430,18,19527,24520,15983696,89939,1863,290608,4152,12.48
80,4826886,436509,18268729,66047564,18,19527,24520,16161616,90989,1863,290608,4152,12.37
81,4886648,439789,18415633,66898415,18,19527,24520,16356678,92002,1863,290608,4152,13.07
82,4949903,443788,18538854,67775121,18,19527,24520,16566320,93048,1863,290608,4152,13.99
83,5017101,447055,18637937,68670266,18,19527,24520,16775290,94106,1863,290608,4152,14.33
84,5078610,450535,18794819,69518841,18,19527,24520,16966567,95085,1863,290608,4152,13.18
85,5145346,454105,68742570,70395896,18,19527,24520,17171613,96120,1863,290608,4152,14.01
86,5210587,457637,19045892,71258385,18,19527,24520,17371644,97203,1863,290608,4152,13.73
87,5274717,464225,19150266,72160559,18,19527,24520,17581673,98295,1863,290608,4152,13.88
88,5340453,471505,71004791,73069638,18,19527,24520,17795867,99313,1863,290608,4152,14.46
89,5403274,475036,19355215,73952960,18,19527,24520,18006851,100330,1863,290608,4152,14.26
90,5463928,478314,72507759,74830171,18,19527,24520,18214628,101394,1863,290608,4152,13.66
91,5529216,492631,19589939,75729059,18,19527,24520,18431828,102475,1863,290608,4152,14.34
92,5590772,495883,19714306,76605448,18,19527,24520,18645873,103533,1863,290608,4152,13.97
93,5653483,504560,19855952,77466579,18,19527,24520,18853587,104591,1863,290608,4152,13.50
94,5718099,515579,19975037,78388885,18,19527,24520,19065608,105640,1863,290608,4152,14.42
95,5782014,518995,20079620,79284014,18,19527,24520,19281474,106693,1863,290608,4152,14.28
96,5845234,522583,77053341,80171815,18,19527,24520,19491436,107771,1863,290608,4152,13.63
97,5911154,536930,20297878,81068968,18,19527,24520,19704644,108818,1863,290608,4152,14.30
98,5975704,540083,20417154,81947744,18,19527,24520,19910650,109882,1863,290608,4152,13.89
99,6039347,543515,20555477,82812263,18,19527,24520,20113896,110931,1863,290608,4152,13.62
100,6104053,555415,20671262,83740378,18,19527,24520,20328973,111951,1863,290608,4152,14.28
101,6168383,558980,20798172,84614709,18,19527,24520,20537864,113062,1863,290608,4152,13.89
102,6229907,562384,81603080,85505618,18,19527,24520,20751083,114102,1863,290608,4152,13.77
103,6296233,575736,82367588,86405255,18,19527,24520,20960921,115107,1863,290608,4152,14.30
104,6359890,579181,21149750,87281925,18,19527,24520,21170990,116189,1863,290608,4152,13.91
