period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,547,4948,103723,127065806,148849,17,45073,14344,63278,1312477,27244,290216,4124,0.12
1,6236,15775,103723,128057950,150115,17,45073,14344,64332,1321681,27244,290216,4124,0.00
2,6236,18934,103723,129048514,151009,17,45073,14344,65165,1330361,27244,290216,4124,0.00
3,24887,22338,103723,129989481,180811,17,45073,14344,65981,1369019,27244,290216,4124,1.45
4,32785,25215,103723,130955456,194685,17,45073,14344,67197,1392730,27244,290216,4124,0.66
5,52353,28390,103723,131892392,243970,17,45073,14344,68107,1435941,27244,290216,4124,1.66
6,65753,31568,103723,132837769,418391,17,45073,14344,69051,1474921,27244,290216,4124,1.36
7,80740,37050,103723,133772734,794065,17,45073,14344,69864,1526986,27244,290216,4124,1.90
8,86818,47490,103723,134738186,880167,17,45073,14344,70887,1557112,27244,290216,4124,0.76
9,86818,50411,103723,135709348,1141399,17,45073,14344,72167,1585225,27244,290216,4124,0.34
10,86818,53552,103723,136693411,1363106,17,45073,14344,73444,1600209,27244,290216,4124,0.02
11,88356,60555,103723,138080340,1619871,17,45073,14344,74798,1622775,27244,290216,4124,0.15
12,94521,69964,103723,138684660,1867402,17,45073,14344,75761,1654525,27244,290216,4124,0.75
13,103655,73209,103723,139636765,2186677,17,45073,14344,76541,1691748,27244,290216,4124,1.20
14,119696,76454,103723,140565943,2609552,17,45073,14344,77287,1745494,27244,290216,4124,1.82
15,129324,79659,103723,141518124,2808431,17,45073,14344,78492,1782019,27244,290216,4124,1.01
16,138990,90870,103723,142537998,3288263,17,45073,14344,79220,1830239,27244,290216,4124,1.56
17,150521,99837,103723,143489836,3533237,17,45073,14344,80138,1865894,27244,290216,4124,1.19
18,158533,108326,103723,144450616,3715236,17,45073,14344,80771,1897583,27244,290216,4124,0.78
19,163026,118874,103723,145545066,4010805,17,45073,14344,81838,1928796,27244,290216,4124,0.77
20,166072,127352,103723,146507089,4428622,17,45073,14344,82876,1961206,27244,290216,4124,0.59
21,183549,137813,103723,147474332,4753872,17,45073,14344,83785,2018829,27244,290216,4124,2.01
22,200447,140902,103723,148406976,5054881,17,45073,14344,84784,2067668,27244,290216,4124,1.81
23,219928,149234,103723,149335419,5198313,17,45073,14344,85720,2119986,27244,290216,4124,1.77
24,252020,159357,103723,150312597,5550090,17,45073,14344,86704,2195239,27244,290216,4124,3.07
25,276796,163554,103723,151222978,5772162,17,45073,14344,87608,2256427,27244,290216,4124,2.46
26,308617,167096,103723,152118809,5995164,17,45073,14344,88485,2325364,27244,290216,4124,2.95
27,336959,172396,103723,153029630,6261056,17,45073,14344,89129,2388013,27244,290216,4124,2.76
